Name;Date of Birth (yyyy-mm-dd);Place of Birth;Profession | Occupation;Years of Service;Senator;Service in Senate;Notes;Date of Death (yyyy-mm-dd);MP;Service in House of Commons;Language Preference
The Hon. Willie Adams, Senator;1934-06-22;Fort Chimo, Quebec, Canada;electrician, businessman;11767 days [32 year(s), 2 month(s), 18 day(s)];(1977-04-05 - 2009-06-22);11767 days [32 year(s), 2 month(s), 18 day(s)];Of Inuit origin.;;;;
Agar Rodney Adamson, M.P.;1901-11-08;Toronto, Ontario, Canada;mining engineer;5127 days [14 year(s), 14 day(s)];;;;1954-04-08 (Died in Office);(1940-03-26 - 1954-04-08);5127 days [14 year(s), 14 day(s)];
Alan Joseph Adamson, M.P.;1857-08-01;Clifton, County Galway, Ireland;banker;1453 days [3 year(s), 11 month(s), 22 day(s)];;;;1928-04-04;(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];
John Hollings Addison, M.P.;1929-12-18;Toronto, Ontario, Canada;business executive, businessman;2199 days [6 year(s), 8 day(s)];;;;2010-02-23;(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];
Mark Adler, M.P.;1962-03-17;York, Ontario, Canada;author, chief executive officer, businessman;1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];
Herbert Bealey Adshead, M.P.;1862-10-17;Manchester, England;farmer, teacher;1413 days [3 year(s), 10 month(s), 13 day(s)];;;;1932-05-02;(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];
The Hon. Leona Aglukkaq, P.C., M.P.;1967-06-28;Inuvik, Northwest Territories, Canada;senior officer of the Government of Nunavut;2561 days [7 year(s), 4 day(s)];;;Of Inuit origin.;;(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];
Thomas Franklin Ahearn, M.P.;1886-05-10;Ottawa, Ontario, Canada;agent, hatcheryman, insurance agent, businessman;3530 days [9 year(s), 7 month(s), 30 day(s)];;;;1962-11-07;(1930-07-28 - 1935-10-13)|(1935-10-14 - 1940-03-26);3530 days [9 year(s), 7 month(s), 30 day(s)];
Gordon Harvey Aiken, Q.C., M.P.;1918-09-26;Ripley, Ontario, Canada;judge, barrister;5621 days [15 year(s), 4 month(s), 20 day(s)];;;;2000-02-12;(1957-06-10 - 1972-10-29);5621 days [15 year(s), 4 month(s), 20 day(s)];
The Hon. Sir James Albert Manning Aikins, K.C., M.P.;1851-12-10;Grahamsville, Canada West;lawyer;1303 days [3 year(s), 6 month(s), 24 day(s)];;;;1929-03-01;(1911-09-21 - 1915-04-15);1303 days [3 year(s), 6 month(s), 24 day(s)];
The Hon. James Cox Aikins, P.C., Senator;1823-03-30;Toronto Township, Upper Canada;farmer;8468 days [23 year(s), 2 month(s), 6 day(s)];(1867-10-23 - 1882-05-30)|(1896-01-07 - 1904-08-06);8468 days [23 year(s), 2 month(s), 6 day(s)];;1904-08-06 (Died in Office);;;
The Hon. John Black Aird, Q.C., Senator;1923-05-05;Toronto, Ontario, Canada;business executive, lawyer;3671 days [10 year(s), 19 day(s)];(1964-11-10 - 1974-11-28);3671 days [10 year(s), 19 day(s)];Awarded the Order of Ontario (O.Ont.) in 1987.;1995-05-06;;;
Scott Aitchison, M.P.;1973-01-14;Huntsville, Ontario, Canada;mayor, city councillor, sales agent, real estate agent;2381 days [6 year(s), 6 month(s), 7 day(s)];;;;;(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];English
Margaret Aitken, M.P.;1908-07-03;Newcastle, New Brunswick, Canada;author, journalist, columnist;3234 days [8 year(s), 10 month(s), 8 day(s)];;;First woman appointed Chair of a Standing Committee of the House of Commons ( Standing Committee on Standing Orders).;1980-11-19;(1953-08-10 - 1962-06-17);3234 days [8 year(s), 10 month(s), 8 day(s)];
Hélène Alarie, M.P.;1941-06-06;La Pocatière, Quebec, Canada;professor, senior public servant, agrologist;1274 days [3 year(s), 5 month(s), 26 day(s)];;;;2023-10-24;(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];
Dan Albas, M.P.;;Victoria, British Columbia, Canada;Business Person;5475 days [14 year(s), 11 month(s), 27 day(s)];;;;;(2011-05-02 - 2015-10-18)|(2015-10-19 - 2025-04-27)|(2025-04-28 - );5475 days [14 year(s), 11 month(s), 27 day(s)];English, French
Harold Albrecht, M.P.;1949-10-15;Kitchener, Ontario, Canada;farmer, dentist;5019 days [13 year(s), 8 month(s), 28 day(s)];;;;;(2006-01-23 - 2019-10-20);5019 days [13 year(s), 8 month(s), 28 day(s)];
The Hon. Reginald B. Alcock, P.C., M.P.;1948-04-16;Winnipeg, Manitoba, Canada;consultant, businessman;4473 days [12 year(s), 2 month(s), 29 day(s)];;;;2011-10-14;(1993-10-25 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];
George Oscar Alcorn, K.C., M.P.;1850-05-03;Lennoxville, Canada East;lawyer;2910 days [7 year(s), 11 month(s), 18 day(s)];;;;1930-02-16;(1900-11-07 - 1904-11-02)|(1904-11-03 - 1908-10-25);2910 days [7 year(s), 11 month(s), 18 day(s)];
John Aldag, M.P.;1963;Gull Lake, Saskatchewan, Canada;public servant;2448 days [6 year(s), 8 month(s), 14 day(s)];;;;;(2015-10-19 - 2019-10-20)|(2021-09-20 - 2024-05-31);2448 days [6 year(s), 8 month(s), 14 day(s)];
