Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Cause of Death;Senator;Service in Senate;Notes;Language Preference
The Hon. Anthony Chisholm Abbott, P.C., M.P.;1930-11-26;Montreal, Quebec, Canada;2023-03-23;lawyer;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;;
The Hon. Douglas Charles Abbott, P.C., M.P.;1899-05-29;Lennoxville, Quebec, Canada;1987-03-15;lawyer;5210 days [14 year(s), 3 month(s), 6 day(s)];(1940-03-26 - 1949-06-26)|(1949-06-27 - 1953-08-09)|(1953-08-10 - 1954-06-30);5210 days [14 year(s), 3 month(s), 6 day(s)];;;;;
The Hon. James (Jim) Edward Abbott, M.P., P.C.;1942-08-18;Toronto, Ontario, Canada;2020-07-26;manager, businessman;6398 days [17 year(s), 6 month(s), 6 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2011-05-01);6398 days [17 year(s), 6 month(s), 6 day(s)];;;;;
The Hon. Sir John Joseph Caldwell Abbott, P.C., Q.C., M.P., Senator;1821-03-12;St. Andrews, Lower Canada;1893-10-30 (Died in Office);professor, lawyer, dean;7471 days [20 year(s), 5 month(s), 14 day(s)];(1867-09-20 - 1874-10-06)|(1880-02-12 - 1881-07-13)|(1881-08-17 - 1887-02-21);5107 days [13 year(s), 11 month(s), 24 day(s)];cancer;(1887-05-12 - 1893-10-30);2364 days [6 year(s), 5 month(s), 21 day(s)];Of Irish origin.;
The Hon. Diane Ablonczy, P.C., M.P.;1949-05-06;Peoria, Illinois, United States;;farmer, lawyer, teacher;8029 days [21 year(s), 11 month(s), 24 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2015-10-18);8029 days [21 year(s), 11 month(s), 24 day(s)];;;;;
Ziad Aboultaif, M.P.;1966-09-10;Aiha, Beqaa, Lebanon;;business owner;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;;;English, French, Arabic
;;;;;;;;;;;;
Eve Adams, M.P.;1974-11-07;Sudbury, Ontario, Canada;;public servant, community activist;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;
The Hon. Michael Adams, Q.C., M.P., Senator;1845-08-13;Douglastown, New Brunswick, Canada;1899-01-02 (Died in Office);lawyer;2861 days [7 year(s), 9 month(s), 30 day(s)];(1891-03-05 - 1896-01-06);1769 days [4 year(s), 10 month(s), 4 day(s)];;(1896-01-07 - 1899-01-02);1092 days [2 year(s), 11 month(s), 27 day(s)];;
The Hon. Peter Adams, P.C., M.P.;1936-04-17;Ellesmere Port, United Kingdom;2018-09-28;professor;4473 days [12 year(s), 2 month(s), 29 day(s)];(1993-10-25 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];;;;Awarded the Order of Ontario (O.Ont.) in 2011.;
The Hon. Willie Adams, Senator;1934-06-22;Fort Chimo, Quebec, Canada;;electrician, businessman;11767 days [32 year(s), 2 month(s), 18 day(s)];;;;(1977-04-05 - 2009-06-22);11767 days [32 year(s), 2 month(s), 18 day(s)];Of Inuit origin.;
Agar Rodney Adamson, M.P.;1901-11-08;Toronto, Ontario, Canada;1954-04-08 (Died in Office);mining engineer;5127 days [14 year(s), 14 day(s)];(1940-03-26 - 1954-04-08);5127 days [14 year(s), 14 day(s)];;;;;
Alan Joseph Adamson, M.P.;1857-08-01;Clifton, County Galway, Ireland;1928-04-04;banker;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;;
John Hollings Addison, M.P.;1929-12-18;Toronto, Ontario, Canada;2010-02-23;business executive, businessman;2199 days [6 year(s), 8 day(s)];(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];;;;;
Mark Adler, M.P.;1962-03-17;York, Ontario, Canada;;author, chief executive officer, businessman;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;
Herbert Bealey Adshead, M.P.;1862-10-17;Manchester, England;1932-05-02;farmer, teacher;1413 days [3 year(s), 10 month(s), 13 day(s)];(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;;;
The Hon. Leona Aglukkaq, P.C., M.P.;1967-06-28;Inuvik, Northwest Territories, Canada;;senior officer of the Government of Nunavut;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;Of Inuit origin.;
Thomas Franklin Ahearn, M.P.;1886-05-10;Ottawa, Ontario, Canada;1962-11-07;agent, hatcheryman, insurance agent, businessman;3530 days [9 year(s), 7 month(s), 30 day(s)];(1930-07-28 - 1935-10-13)|(1935-10-14 - 1940-03-26);3530 days [9 year(s), 7 month(s), 30 day(s)];;;;;
Gordon Harvey Aiken, Q.C., M.P.;1918-09-26;Ripley, Ontario, Canada;2000-02-12;judge, barrister;5621 days [15 year(s), 4 month(s), 20 day(s)];(1957-06-10 - 1972-10-29);5621 days [15 year(s), 4 month(s), 20 day(s)];;;;;
The Hon. Sir James Albert Manning Aikins, K.C., M.P.;1851-12-10;Grahamsville, Canada West;1929-03-01;lawyer;1303 days [3 year(s), 6 month(s), 24 day(s)];(1911-09-21 - 1915-04-15);1303 days [3 year(s), 6 month(s), 24 day(s)];;;;;
The Hon. James Cox Aikins, P.C., Senator;1823-03-30;Toronto Township, Upper Canada;1904-08-06 (Died in Office);farmer;8468 days [23 year(s), 2 month(s), 6 day(s)];;;;(1867-10-23 - 1882-05-30)|(1896-01-07 - 1904-08-06);8468 days [23 year(s), 2 month(s), 6 day(s)];;
The Hon. John Black Aird, Q.C., Senator;1923-05-05;Toronto, Ontario, Canada;1995-05-06;business executive, lawyer;3671 days [10 year(s), 19 day(s)];;;;(1964-11-10 - 1974-11-28);3671 days [10 year(s), 19 day(s)];Awarded the Order of Ontario (O.Ont.) in 1987.;
Scott Aitchison, M.P.;1973-01-14;Huntsville, Ontario, Canada;;mayor, city councillor, sales agent, real estate agent;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;;English
Margaret Aitken, M.P.;1908-07-03;Newcastle, New Brunswick, Canada;1980-11-19;author, journalist, columnist;3234 days [8 year(s), 10 month(s), 8 day(s)];(1953-08-10 - 1962-06-17);3234 days [8 year(s), 10 month(s), 8 day(s)];;;;First woman appointed Chair of a Standing Committee of the House of Commons ( Standing Committee on Standing Orders).;
Hélène Alarie, M.P.;1941-06-06;La Pocatière, Quebec, Canada;2023-10-24;professor, senior public servant, agrologist;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;;
Dan Albas, M.P.;;Victoria, British Columbia, Canada;;Business Person;5475 days [14 year(s), 11 month(s), 27 day(s)];(2011-05-02 - 2015-10-18)|(2015-10-19 - 2025-04-27)|(2025-04-28 - );5475 days [14 year(s), 11 month(s), 27 day(s)];;;;;English, French
Harold Albrecht, M.P.;1949-10-15;Kitchener, Ontario, Canada;;farmer, dentist;5019 days [13 year(s), 8 month(s), 28 day(s)];(2006-01-23 - 2019-10-20);5019 days [13 year(s), 8 month(s), 28 day(s)];;;;;
The Hon. Reginald B. Alcock, P.C., M.P.;1948-04-16;Winnipeg, Manitoba, Canada;2011-10-14;consultant, businessman;4473 days [12 year(s), 2 month(s), 29 day(s)];(1993-10-25 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];;;;;
George Oscar Alcorn, K.C., M.P.;1850-05-03;Lennoxville, Canada East;1930-02-16;lawyer;2910 days [7 year(s), 11 month(s), 18 day(s)];(1900-11-07 - 1904-11-02)|(1904-11-03 - 1908-10-25);2910 days [7 year(s), 11 month(s), 18 day(s)];;;;;
John Aldag, M.P.;1963;Gull Lake, Saskatchewan, Canada;;public servant;2448 days [6 year(s), 8 month(s), 14 day(s)];(2015-10-19 - 2019-10-20)|(2021-09-20 - 2024-05-31);2448 days [6 year(s), 8 month(s), 14 day(s)];;;;;
The Hon. Chris Alexander, P.C., M.P.;1968-09-09;Toronto, Ontario, Canada;;diplomat, ambassador;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;
The Hon. George Alexander, Senator;1814-05-21;Banffshire, Scotland;1903-10-13;farmer;6574 days [17 year(s), 11 month(s), 30 day(s)];;;;(1873-05-30 - 1891-05-29);6574 days [17 year(s), 11 month(s), 30 day(s)];;
The Hon. Lincoln MacCauley Alexander, P.C., Q.C., C.C., C.D., O.Ont., K.St.J., M.P.;1922-01-21;Toronto, Ontario, Canada;2012-10-19;barrister and solicitor, lawyer;4356 days [11 year(s), 11 month(s), 3 day(s)];(1968-06-25 - 1980-05-28);4356 days [11 year(s), 11 month(s), 3 day(s)];;;;First Black Canadian to be elected to the House of Commons.;
The Hon. Omar Alghabra, P.C., M.P.;1969-10-24;Al-Khobar, Saudi Arabia;;engineer, entrepreneur;4474 days [12 year(s), 2 month(s), 30 day(s)];(2006-01-23 - 2008-10-13)|(2015-10-19 - 2025-04-27);4474 days [12 year(s), 2 month(s), 30 day(s)];;;;;
Duncan Orestes Alguire, M.P.;1853-08-13;Cornwall Township, Canada West;1925-05-04;physician;2279 days [6 year(s), 2 month(s), 27 day(s)];(1911-09-21 - 1917-12-16);2279 days [6 year(s), 2 month(s), 27 day(s)];;;;;
Almonte Douglas Alkenbrack, M.P.;1912-06-02;Rydal Bank, Ontario, Canada;1998-03-19;lumberman;6182 days [16 year(s), 11 month(s), 3 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1979-05-21);6182 days [16 year(s), 11 month(s), 3 day(s)];;;;;
George William Allan, K.C., M.P.;1860-08-13;Toronto, Ontario, Canada;1940-12-06;lawyer;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Grandson of William Allan, member of the Legislative Council of Upper  Canada (1825-41).";
The Hon. George William Allan, Senator, P.C.;1822-01-09;York, Upper Canada;1901-07-24 (Died in Office);lawyer;12328 days [33 year(s), 9 month(s), 1 day(s)];;;;(1867-10-23 - 1901-07-24);12328 days [33 year(s), 9 month(s), 1 day(s)];"For family relationships in the Parliament of Canada see ""Family Ties"" below. Son of William Allan, member of the Legislative Council of Upper Canada (1825-41).";
Henry William Allan, M.P.;1843-12-29;Niagara, Canada West;1913-03-10;merchant, produce dealer;1937 days [5 year(s), 3 month(s), 20 day(s)];(1891-03-05 - 1896-06-22);1937 days [5 year(s), 3 month(s), 20 day(s)];;;;;
Hugh Allan, M.P.;1865-08-27;Blenheim Township, Canada West;1949-04-05;conveyancer, notary;1413 days [3 year(s), 10 month(s), 13 day(s)];(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;;;
Albert Allard, M.P.;1860;Montreal, Quebec, Canada;1941-05-01;grocer, store owner;600 days [1 year(s), 7 month(s), 22 day(s)];(1910-01-29 - 1911-09-20);600 days [1 year(s), 7 month(s), 22 day(s)];;;;;
Carole-Marie Allard, M.P.;1949-09-06;Dolbeau, Quebec, Canada;2024-03-18;author, journalist, lawyer;1309 days [3 year(s), 7 month(s), 30 day(s)];(2000-11-27 - 2004-06-27);1309 days [3 year(s), 7 month(s), 30 day(s)];;;;;
Eudore Allard, M.P.;1915-08-27;Carleton, Quebec, Canada;2001-09-17;hotelier, sales representative;2667 days [7 year(s), 3 month(s), 19 day(s)];(1972-10-30 - 1980-02-17);2667 days [7 year(s), 3 month(s), 19 day(s)];;;;;
Maurice Allard, M.P.;1922-01-02;Sherbrooke, Quebec, Canada;1988-09-14;lawyer, professor of law;2390 days [6 year(s), 6 month(s), 16 day(s)];(1958-03-31 - 1962-06-17)|(1965-11-08 - 1968-03-06);2390 days [6 year(s), 6 month(s), 16 day(s)];;;;;
Benjamin Allen, M.P.;1830;Sligo, Ireland;1912-12-23;retail merchant;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;;
Henry Edgarton Allen, M.P.;1864-12-14;Waterloo, Canada East;1924-12-28;merchant;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;;
Malcolm Allen, M.P.;1953-05-30;Glasgow, Scotland;;electrician;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;;
Mike Allen, M.P.;1960-11-20;Fredericton, New Brunswick, Canada;;director, management consultant;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;;
Leona Alleslev, M.P.;1968-03-16;;;military, management consultant, businesswoman;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;;
David Wright Allison, M.P.;1826;Adolphustown, Upper Canada;1906-05-15;manufacturer, farmer, speculator;716 days [1 year(s), 11 month(s), 16 day(s)];(1883-11-26 - 1884-12-09)|(1891-03-05 - 1892-02-03);716 days [1 year(s), 11 month(s), 16 day(s)];;;;;
Dean Allison, M.P.;;London, Ontario, Canada;;entrepreneur;7974 days [21 year(s), 9 month(s), 30 day(s)];(2004-06-28 - 2015-10-18)|(2015-10-19 - );7974 days [21 year(s), 9 month(s), 30 day(s)];;;;;English
William Henry Allison, M.P.;1838-06-14;Newport, Nova Scotia, Canada;1934-12;school lands commissioner;3080 days [8 year(s), 5 month(s), 6 day(s)];(1878-09-17 - 1887-02-21);3080 days [8 year(s), 5 month(s), 6 day(s)];;;;;
The Hon. William Warren Allmand, P.C., Q.C., M.P.;1932-09-19;Montreal, Quebec, Canada;2016-12-07;barrister and solicitor, lawyer;11432 days [31 year(s), 3 month(s), 18 day(s)];(1965-11-08 - 1984-09-03)|(1984-09-04 - 1988-11-20)|(1988-11-21 - 1997-02-24);11432 days [31 year(s), 3 month(s), 18 day(s)];;;;;
Benjamin Graydon Allmark, M.P.;1911-06-01;Kingston, Ontario, Canada;2004-01-04;planning supervisor, superintendent;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;;
The Hon. William Johnston Almon, M.P., Senator;1816-01-27;Halifax, Nova Scotia, Canada;1901-02-19 (Died in Office);professor, physician;8448 days [23 year(s), 1 month(s), 17 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;(1879-04-15 - 1901-02-19);7981 days [21 year(s), 10 month(s), 7 day(s)];;
Victor Fredrich (Vic) Althouse, M.P.;1937-04-15;Wadena, Saskatchewan, Canada;;farmer;6314 days [17 year(s), 3 month(s), 14 day(s)];(1980-02-18 - 1988-11-20)|(1988-11-21 - 1997-06-01);6314 days [17 year(s), 3 month(s), 14 day(s)];;;;;
Stella Ambler, M.P.;1966-09-29;Etobicoke, Ontario, Canada;;volunteer worker, community activist;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;
The Hon. Rona Ambrose, P.C., M.P.;1969-03-15;Valleyview, Alberta, Canada;;communication consultant, senior public servant, columnist, policy analyst, public policy consultant;4755 days [13 year(s), 7 day(s)];(2004-06-28 - 2015-10-18)|(2015-10-19 - 2017-07-04);4755 days [13 year(s), 7 day(s)];;;;;
Sir Herbert Brown Ames, M.P.;1863-06-27;Montreal, Canada East;1954-03-30;author, businessman;5948 days [16 year(s), 3 month(s), 13 day(s)];(1904-11-03 - 1921-02-14);5948 days [16 year(s), 3 month(s), 13 day(s)];;;;;
William Amos, M.P.;1974-12-04;Ottawa, Ontario, Canada;;professor, environmental consultant, lawyer;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;;
Guillaume Amyot, M.P.;1843-12-10;Saint-Gervais, Canada East;1896-03-30 (Died in Office);editor, lawyer;5491 days [15 year(s), 12 day(s)];(1881-03-19 - 1896-03-30);5491 days [15 year(s), 12 day(s)];;;;;
The Hon. Anita Anand, P.C., M.P.;;Nova Scotia, Canada;;lawyer, academic, professor;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27)|(2025-04-28 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;;English
The Hon. Gary Anandasangaree, P.C., K.C., M.P.;;;;human rights activist, lawyer;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27)|(2025-04-28 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;;;English, French
Jack Iyerak Anawak, M.P.;1950-09-26;Repulse Bay, Northwest Territories, Canada;;consultant, ambassador, businessman;3068 days [8 year(s), 4 month(s), 24 day(s)];(1988-11-21 - 1997-04-15);3068 days [8 year(s), 4 month(s), 24 day(s)];;;;Of Inuit origin.;
Rob Anders, M.P.;1972-04-01;Winnipeg, Manitoba, Canada;;labour expert, administrator;6713 days [18 year(s), 4 month(s), 17 day(s)];(1997-06-02 - 2015-10-18);6713 days [18 year(s), 4 month(s), 17 day(s)];;;;;
