Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;Senator;Service in Senate;MP;Service in House of Commons;Notes;Language Preference
The Hon. Thomas Dickson Archibald, Senator;1813-04-08;Onslow, Nova Scotia, United Kingdom;1890-10-18 (Died in Office);merchant;8397 days [22 year(s), 11 month(s), 27 day(s)];(1867-10-23 - 1890-10-18);8397 days [22 year(s), 11 month(s), 27 day(s)];;;;
The Hon. Hazen Robert Argue, P.C., M.P., Senator;1921-01-06;Moose Jaw, Saskatchewan, Canada;1991-10-02 (Died in Office);farmer;15862 days [43 year(s), 5 month(s), 4 day(s)];(1966-02-24 - 1991-10-02);9352 days [25 year(s), 7 month(s), 8 day(s)];(1945-06-11 - 1949-06-26)|(1949-06-27 - 1963-04-07);6510 days [17 year(s), 9 month(s), 27 day(s)];;
Ira Eugene Argue, M.P.;1865;Victoria County, Canada West;1927-08-05;farmer, businessman;1450 days [3 year(s), 11 month(s), 19 day(s)];;;(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;
Thomas Arkell, M.P.;1823-11-10;Gloucestershire, England;1906-02-02;farmer, grain merchant;1372 days [3 year(s), 9 month(s), 2 day(s)];;;(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;
The Hon. Joseph François Armand, Senator;1820-12-14;Rivière-des-Prairies, Lower Canada;1903-01-01 (Died in Office);farmer;12854 days [35 year(s), 2 month(s), 9 day(s)];(1867-10-23 - 1903-01-01);12854 days [35 year(s), 2 month(s), 9 day(s)];;;Baptized Joseph-Flavien Armand.;
Lt. Col. Ernest Frederick Armstrong, M.P.;1878-07-14;Flesherton, Ontario, Canada;1948-03-14;dental surgeon;320 days [, 10 month(s), 16 day(s)];;;(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;
Frederick Thomas Armstrong, M.P.;1907-11-19;Bell Neck, Nova Scotia, Canada;1990-11-02;office manager, real estate agent, automobile dealer;945 days [2 year(s), 7 month(s), 2 day(s)];;;(1963-04-08 - 1965-11-07);945 days [2 year(s), 7 month(s), 2 day(s)];;
James Armstrong, M.P.;1830-03-01;Queensbury, New Brunswick, Canada;1893-01-26 (Died in Office);farmer;3874 days [10 year(s), 7 month(s), 9 day(s)];;;(1882-06-20 - 1893-01-26);3874 days [10 year(s), 7 month(s), 9 day(s)];;
John Alexander Macdonald Armstrong, M.P.;1877-11-19;King Township, Ontario, Canada;1926-02-02;real estate agent, conveyancer;3729 days [10 year(s), 2 month(s), 16 day(s)];;;(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;
Joseph Elijah Armstrong, M.P.;1864-11-09;York County, Canada West;1931-01-31;manufacturer, farmer, oilman;6823 days [18 year(s), 8 month(s), 6 day(s)];;;(1904-02-16 - 1921-12-05)|(1925-10-29 - 1926-09-13);6823 days [18 year(s), 8 month(s), 6 day(s)];;
Scott Armstrong, M.P.;1966-07-09;Truro, Nova Scotia, Canada;;educator, school principal;2170 days [5 year(s), 11 month(s), 9 day(s)];;;(2009-11-09 - 2015-10-18);2170 days [5 year(s), 11 month(s), 9 day(s)];;
Mel Arnold, M.P.;1958;Notch Hill, British Columbia, Canada;;business owner;3844 days [10 year(s), 6 month(s), 9 day(s)];;;(2015-10-19 - 2025-04-27)|(2025-04-28 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;English
The Hon. David M. Arnot, Senator;;;;lawyer, judge;1734 days [4 year(s), 8 month(s), 30 day(s)];(2021-07-29 - );1734 days [4 year(s), 8 month(s), 30 day(s)];;;Bestowed the Queen Elizabeth II's Golden Jubilee Medal in 2002.;English
Ian MacLachlan Arrol, M.P.;1924-02-20;Vanderhoof, British Columbia, Canada;2000-06-16;radio announcer, reporter, teacher;616 days [1 year(s), 8 month(s), 8 day(s)];;;(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;
