Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference;Cause of Death
Louis-Georges Desjardins, M.P.;1849-05-12;Saint-Jean-Port-Joli, Canada East;1928-06-08;editor, author, journalist;810 days [2 year(s), 2 month(s), 19 day(s)];(1890-07-25 - 1891-03-04)|(1891-03-05 - 1892-10-11);810 days [2 year(s), 2 month(s), 19 day(s)];;;;;
Samuel Desjardins, M.P.;1852-07-25;Sainte-Thérèse, Canada East;1924-12-04;physician;2072 days [5 year(s), 8 month(s), 3 day(s)];(1903-02-24 - 1908-10-26);2072 days [5 year(s), 8 month(s), 3 day(s)];;;;;
Beverly (Bev) Faye Desjarlais, M.P.;1955-08-19;Regina, Saskatchewan, Canada;2018-03-15;clerk;3157 days [8 year(s), 7 month(s), 22 day(s)];(1997-06-02 - 2006-01-22);3157 days [8 year(s), 7 month(s), 22 day(s)];;;;;
Hermas Deslauriers, M.P.;1879-10-21;Rivière-Saint-Charles, Quebec, Canada;1941-05-28 (Died in Office);physician;8564 days [23 year(s), 5 month(s), 11 day(s)];(1917-12-17 - 1941-05-28);8564 days [23 year(s), 5 month(s), 11 day(s)];;;;;
Joseph-Léon Deslières, M.P.;1893-06-12;Sutton, Quebec, Canada;1986-03-09;wholesaler;2135 days [5 year(s), 10 month(s), 5 day(s)];(1952-05-26 - 1958-03-30);2135 days [5 year(s), 10 month(s), 5 day(s)];;;;;
The Hon. Jean Noël Desmarais, F.R.C.P., Senator;1924-04-11;Sudbury, Ontario, Canada;1995-07-25 (Died in Office);physician;782 days [2 year(s), 1 month(s), 22 day(s)];;;(1993-06-04 - 1995-07-25);782 days [2 year(s), 1 month(s), 22 day(s)];;;
Louis R. Desmarais, M.P.;1923-02-16;Sudbury, Ontario, Canada;2017-03-25;chartered accountant;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;;
Odilon Desmarais, K.C., M.P.;1854-02-26;Joliette, Canada East;1904-05-18;crown prosecutor, lawyer;1827 days [5 year(s), 1 day(s)];(1896-06-23 - 1901-06-24);1827 days [5 year(s), 1 day(s)];;;;;
Clayton Earl Desmond, M.P.;1894-03-09;Morpeth, Ontario, Canada;1968-07-15;farmer;3380 days [9 year(s), 3 month(s), 2 day(s)];(1940-03-26 - 1949-06-26);3380 days [9 year(s), 3 month(s), 2 day(s)];;;;;
Luc Desnoyers, M.P.;1950-10-02;Saint-Jérôme, Quebec, Canada;;union officer, negotiator;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;;;
Eugène Desrochers, M.P.;1885-10-15;Sainte-Agathe, Quebec, Canada;1958-11-25;merchant, trader;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;;
Jules Desrochers, M.P.;1874-06-30;Lotbinière, Quebec, Canada;1939-01-04;pharmacist, physician;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;;
Odina Desrochers, M.P.;1951-05-25;Joly, Quebec, Canada;;information agent, journalist;3157 days [8 year(s), 7 month(s), 22 day(s)];(1997-06-02 - 2000-06-28)|(2000-06-29 - 2004-06-27)|(2004-06-28 - 2006-01-22);3157 days [8 year(s), 7 month(s), 22 day(s)];;;;;
Édouard Desrosiers, M.P.;1934-08-26;Montreal, Quebec, Canada;;singer;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;;
The Hon. Paul Desruisseaux, Q.C., C.G.G., K.M., F.A.I.M., Senator;1905-05-01;Sherbrooke, Quebec, Canada;1982-02-02;lawyer;5047 days [13 year(s), 9 month(s), 25 day(s)];;;(1966-07-08 - 1980-05-01);5047 days [13 year(s), 9 month(s), 25 day(s)];;;
Alexis Dessaint, M.P.;1847-07-16;Kamouraska, Canada East;1890-12-18 (Died in Office);lawyer;1396 days [3 year(s), 9 month(s), 26 day(s)];(1887-02-22 - 1890-12-18);1396 days [3 year(s), 9 month(s), 26 day(s)];;;;;
The Hon. Georges-Casimir Dessaulles, Senator;1827-09-29;Saint-Hyacinthe, Lower Canada;1930-04-19 (Died in Office);administrator;8440 days [23 year(s), 1 month(s), 9 day(s)];;;(1907-03-12 - 1930-04-19);8440 days [23 year(s), 1 month(s), 9 day(s)];;;
The Hon. Jean-Marie Dessureault, Senator;1888-12-30;Sainte-Geneviève-de-Batiscan, Quebec, Canada;1970-08-25;lumber merchant, manufacturer;9200 days [25 year(s), 2 month(s), 8 day(s)];;;(1945-06-09 - 1970-08-16);9200 days [25 year(s), 2 month(s), 8 day(s)];;;
The Hon. Leverett George DeVeber, Senator;1849-02-10;Saint John, New Brunswick, Canada;1925-07-09 (Died in Office);physician;7064 days [19 year(s), 4 month(s), 2 day(s)];;;(1906-03-08 - 1925-07-09);7064 days [19 year(s), 4 month(s), 2 day(s)];;;
