Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Language Preference;Notes
Arthur Ecrément, M.P.;1879-06-29;Saint-Gabriel-de-Brandon, Quebec, Canada;1958-06-23;notary;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;
The Hon. Sir James David Edgar, P.C., Q.C., M.P.;1841-08-10;Hatley, Canada East;1899-07-31 (Died in Office);lawyer;5924 days [16 year(s), 2 month(s), 19 day(s)];(1872-10-12 - 1874-01-21)|(1884-08-22 - 1899-07-31);5924 days [16 year(s), 2 month(s), 19 day(s)];;;;
Phillip Edmonston, M.P.;1944-05-26;Washington, District of Columbia, United States;2022-12-02;consumer advocate, editor, journalist, writer;1350 days [3 year(s), 8 month(s), 11 day(s)];(1990-02-13 - 1993-10-24);1350 days [3 year(s), 8 month(s), 11 day(s)];;;;
Alexander McKay Edwards, M.P.;1876-04-07;Bothwell, Ontario, Canada;1938-06-03 (Died in Office);pharmacist, manufacturer;4601 days [12 year(s), 7 month(s), 5 day(s)];(1925-10-29 - 1938-06-03);4601 days [12 year(s), 7 month(s), 5 day(s)];;;;
Gordon Cameron Edwards, M.P.;1866-11-12;Thurso, Canada East;1946-11-02;lumber merchant;1413 days [3 year(s), 10 month(s), 13 day(s)];(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;;
The Hon. James (Jim) Stewart Edwards, , P.C.;1936-08-31;Edmonton, Alberta, Canada;;consultant, broadcaster;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
The Hon. John Wesley Edwards, P.C., C.M., M.P.;1865-05-25;Storrington Township, Canada West;1929-04-18 (Died in Office);physician, teacher;6057 days [16 year(s), 6 month(s), 30 day(s)];(1908-10-26 - 1921-12-05)|(1925-10-29 - 1929-04-18);6057 days [16 year(s), 6 month(s), 30 day(s)];;;;
Manley Justin Edwards, M.P.;1892-02-18;Caistorville, Ontario, Canada;1962-05-08;barrister, teacher;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];;;;
The Hon. William Cameron Edwards, M.P., Senator;1844-05-07;Clarence Township, Canada West;1921-09-17 (Died in Office);lumber merchant, businessman;12508 days [34 year(s), 2 month(s), 29 day(s)];(1887-02-22 - 1888-01-09)|(1888-05-07 - 1903-03-16);5748 days [15 year(s), 8 month(s), 26 day(s)];(1903-03-17 - 1921-09-17);6760 days [18 year(s), 6 month(s), 3 day(s)];;
The Hon. Ruben John Efford, P.C., M.P.;1944-01-06;Port de Grave, Newfoundland and Labrador, Canada;2022-01-02;businessman;1351 days [3 year(s), 8 month(s), 12 day(s)];(2002-05-13 - 2004-06-27)|(2004-06-28 - 2006-01-22);1351 days [3 year(s), 8 month(s), 12 day(s)];;;;
The Hon. Art Eggleton, P.C., M.P., Senator;;Toronto, Ontario, Canada;;consultant in urban management, accountant;8836 days [24 year(s), 2 month(s), 9 day(s)];(1993-10-25 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];(2005-03-24 - 2018-09-28);4937 days [13 year(s), 6 month(s), 6 day(s)];;
Jim Eglinski, M.P.;1948-12-15;Two Hills, Alberta, Canada;;RCMP officer;1799 days [4 year(s), 11 month(s), 3 day(s)];(2014-11-17 - 2019-10-20);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
The Hon. Ali Ehsassi, M.P., P.C.;1970-04-24;Geneva, Switzerland;;lawyer, public servant;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;English;
James Daniel Eisenhauer, M.P.;1832-01-01;Lunenburg, Nova Scotia, Canada;1896-11-16;merchant, exporter;1472 days [4 year(s), 11 day(s)];(1887-02-22 - 1891-03-04);1472 days [4 year(s), 11 day(s)];;;;
Fayçal El-Khoury, M.P.;;Charbila, Akkar, Lebanon;;business consultant in international affairs;3844 days [10 year(s), 6 month(s), 9 day(s)];(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;;French, English, Arabic;Of Lebanese descent.
Angus Alexander Elderkin, M.P.;1896-06-18;Wolfville, Nova Scotia, Canada;1985-05-22;farmer, fruit grower;253 days [, 8 month(s), 10 day(s)];(1949-06-27 - 1950-03-06);253 days [, 8 month(s), 10 day(s)];;;;
Stanley Edward Elkin, M.P.;1880-10-12;Saint John, New Brunswick, Canada;1960-06-09;manufacturer, businessman;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
Reed Elley, M.P.;1945-07-22;Simcoe, Ontario, Canada;;clergyperson;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;
George Adam Elliott, M.P.;1875-06-12;Parkhill, Ontario, Canada;1944-11-29;farmer;2279 days [6 year(s), 2 month(s), 27 day(s)];(1911-09-21 - 1917-12-16);2279 days [6 year(s), 2 month(s), 27 day(s)];;;;
The Hon. John Campbell Elliott, P.C., M.P., Senator;1872-07-25;Ekfrid Township, Ontario, Canada;1941-12-20 (Died in Office);solicitor, lawyer;5868 days [16 year(s), 24 day(s)];(1925-10-29 - 1926-03-07)|(1926-03-29 - 1926-10-24)|(1926-11-02 - 1940-01-28);5176 days [14 year(s), 2 month(s), 2 day(s)];(1940-01-29 - 1941-12-20);692 days [1 year(s), 10 month(s), 23 day(s)];;
Nelson Elliott, M.P.;1925-08-06;Belton, Ontario, Canada;2017-04-01;farmer;272 days [, 8 month(s), 29 day(s)];(1979-05-22 - 1980-02-17);272 days [, 8 month(s), 29 day(s)];;;;
Otto Buchanan Elliott, M.P.;1886-09-26;Erin, Ontario, Canada;1979-08-26;railway station agent;1468 days [4 year(s), 7 day(s)];(1935-10-14 - 1939-10-20);1468 days [4 year(s), 7 day(s)];;;;
Preston Elliott, M.P.;1875-05-01;Chesterville, Ontario, Canada;1939-01-12;farmer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;
William Elliott, M.P.;1872-05-30;Galt, Ontario, Canada;1944-12-12;farmer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;
William Elliott, M.P.;1837-04-21;Toronto, Upper Canada;1888-03-02;farmer, merchant;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;
