Name;Place of Birth;Profession | Occupation;Language Preference;Years of Service;Senator;Service in Senate;Date of Birth (yyyy-mm-dd);Date of Death (yyyy-mm-dd);MP;Service in House of Commons;Notes
The Hon. Rosa Galvez, Senator;Peru;professor, environmental consultant;French, English;3430 days [9 year(s), 4 month(s), 21 day(s)];(2016-12-06 - );3430 days [9 year(s), 4 month(s), 21 day(s)];;;;;
John Albert Gamble, Q.C., M.P.;Perth, Ontario, Canada;tax lawyer;;1932 days [5 year(s), 3 month(s), 15 day(s)];;;1933-11-24;2009-05-11;(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];
Arthur D. Ganong, M.P.;St. Stephen, New Brunswick, Canada;manufacturer;;1904 days [5 year(s), 2 month(s), 17 day(s)];;;1877-08-03;1963-02-24;(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];
The Hon. Gilbert White Ganong, M.P.;Springfield, New Brunswick, Canada;confectioner, teacher;;4507 days [12 year(s), 4 month(s), 2 day(s)];;;1851-05-22;1917-10-31;(1896-06-23 - 1908-10-25);4507 days [12 year(s), 4 month(s), 2 day(s)];
Alain Garant, M.P.;Montmagny, Quebec, Canada;chartered accountant;;1660 days [4 year(s), 6 month(s), 16 day(s)];;;1952-03-21;;(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];
Brian L. Gardiner, M.P.;Prince Rupert, British Columbia, Canada;manager, administrator, publisher;;1799 days [4 year(s), 11 month(s), 3 day(s)];;;1955-08-18;;(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];
The Right Hon. James Garfield Gardiner, P.C., M.P.;Farquhar, Ontario, Canada;farmer, principal;;8120 days [22 year(s), 2 month(s), 24 day(s)];;;1883-11-30;1962-01-12;(1936-01-06 - 1940-03-25)|(1940-03-26 - 1958-03-30);8120 days [22 year(s), 2 month(s), 24 day(s)];
Robert Gardiner, M.P.;Aberdeenshire, Scotland;farmer;;5222 days [14 year(s), 3 month(s), 18 day(s)];;;1879-02-24;1945-02-06;(1921-06-27 - 1925-10-28)|(1925-10-29 - 1935-10-13);5222 days [14 year(s), 3 month(s), 18 day(s)];
Wilfrid Gariépy, Q.C., M.P.;Montreal, Quebec, Canada;lawyer;;3102 days [8 year(s), 5 month(s), 28 day(s)];;;1877-03-14;1960-01-13;(1935-10-14 - 1940-03-25)|(1945-06-11 - 1949-06-26);3102 days [8 year(s), 5 month(s), 28 day(s)];
Edward Joseph Garland, M.P.;Dublin, Ireland;diplomat, farmer, high commissioner;;5060 days [13 year(s), 10 month(s), 8 day(s)];;;1887-03-16;1974-12-19;(1921-12-06 - 1935-10-13);5060 days [13 year(s), 10 month(s), 8 day(s)];
