Name;Profession | Occupation;Years of Service;MP;Service in House of Commons;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Senator;Service in Senate;Notes;Language Preference
Tracy Gray, M.P.;businesswoman;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;;;;
William Gray, M.P.;manufacturer, financier;681 days [1 year(s), 10 month(s), 12 day(s)];(1915-02-01 - 1916-12-12);681 days [1 year(s), 10 month(s), 12 day(s)];1862-08-31;Newcastle, Canada West;1916-12-12 (Died in Office);;;;
Gordon Graydon, M.P.;solicitor, barrister, lawyer;6551 days [17 year(s), 11 month(s), 7 day(s)];(1935-10-14 - 1953-09-19);6551 days [17 year(s), 11 month(s), 7 day(s)];1896-12-07;Snelgrove, Ontario, Canada;1953-09-19 (Died in Office);;;;
The Hon. Howard Charles Green, , P.C.;barrister;10038 days [27 year(s), 5 month(s), 24 day(s)];(1935-10-14 - 1949-06-26)|(1949-06-27 - 1963-04-07);10038 days [27 year(s), 5 month(s), 24 day(s)];1895-11-05;Kaslo, British Columbia, Canada;1989-06-26;;;;
Matthew Green, M.P.;city councillor, executive director;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;;;;
The Hon. Robert Francis Green, M.P., Senator;businessman;12547 days [34 year(s), 4 month(s), 7 day(s)];(1912-05-30 - 1917-12-16)|(1917-12-17 - 1921-10-02);3413 days [9 year(s), 4 month(s), 4 day(s)];1861-11-14;Peterborough, Canada West;1946-10-05 (Died in Office);(1921-10-03 - 1946-10-05);9134 days [25 year(s), 3 day(s)];;
Lorne Everett Greenaway, V.S., M.P.;veterinarian, rancher;3419 days [9 year(s), 4 month(s), 10 day(s)];(1979-05-22 - 1988-09-29);3419 days [9 year(s), 4 month(s), 10 day(s)];1933-05-08;Bella Coola, British Columbia, Canada;2010-09-13;;;;
Barbara Greene;teacher;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];1945-09-01;Pembroke, Ontario, Canada;;;;;
The Hon. John James Greene, P.C., Q.C., D.F.C., M.P., Senator;lawyer;5678 days [15 year(s), 6 month(s), 16 day(s)];(1963-04-08 - 1968-06-24)|(1968-06-25 - 1972-08-31);3434 days [9 year(s), 4 month(s), 25 day(s)];1920-06-24;Toronto, Ontario, Canada;1978-10-23 (Died in Office);(1972-09-01 - 1978-10-23);2244 days [6 year(s), 1 month(s), 23 day(s)];;
The Hon. Stephen Greene, Senator;executive director, political adviser, businessman;5820 days [15 year(s), 11 month(s), 6 day(s)];;;;Montreal, Quebec, Canada;;(2009-01-02 - 2024-12-08);5820 days [15 year(s), 11 month(s), 6 day(s)];;
Thomas Greenway, M.P.;farmer, merchant;2767 days [7 year(s), 6 month(s), 27 day(s)];(1875-02-11 - 1878-09-16)|(1904-11-03 - 1908-10-25);2767 days [7 year(s), 6 month(s), 27 day(s)];1838-03-25;Kilkhampton, Cornwall, England;1908-10-30;;;;
The Hon. Milton Fowler Gregg, P.C., M.P.;educator;3521 days [9 year(s), 7 month(s), 21 day(s)];(1947-10-20 - 1957-06-09);3521 days [9 year(s), 7 month(s), 21 day(s)];1892-04-10;Mountain Dale, New Brunswick, Canada;1978-03-13;;;;
Gilles Grégoire, M.P.;publicist, journalist, businessman, advertising executive;2199 days [6 year(s), 8 day(s)];(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];1926-05-06;Québec, Quebec, Canada;2006-11-22;;;;
John Albert Gregory;school principal, businessman;1903 days [5 year(s), 2 month(s), 16 day(s)];(1940-03-26 - 1945-06-10);1903 days [5 year(s), 2 month(s), 16 day(s)];1878-09-09;Exeter, Ontario, Canada;1955-01-22;;;;
Lucien Grenier, M.P.;lawyer;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];1925-10-11;Saint-Godefroi, Quebec, Canada;1998-08-03;;;;
Gurmant Singh Grewal, M.P.;professor (assistant) - management, real estate agent, manager, professor (associate) - commercial law, entrepreneur, entrepreneur;3157 days [8 year(s), 7 month(s), 22 day(s)];(1997-06-02 - 2004-06-27)|(2004-06-28 - 2006-01-22);3157 days [8 year(s), 7 month(s), 22 day(s)];1957-12-21;Barundi, India;;;;;
Nina Grewal, M.P.;sales manager, businesswoman;4130 days [11 year(s), 3 month(s), 21 day(s)];(2004-06-28 - 2015-10-18);4130 days [11 year(s), 3 month(s), 21 day(s)];1958-10-20;Osaka, Japan;;;;First Canadian woman of Indian origin, along with Ruby Dhalla, elected to the House of Commons.;
Raj Grewal, M.P.;financial analyst, lawyer;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];1985-09-11;Calgary, Alberta, Canada;;;;;
The Hon. Deborah C. Grey, P.C., M.P.;teacher;5586 days [15 year(s), 3 month(s), 16 day(s)];(1989-03-13 - 1997-06-01)|(1997-06-02 - 2004-06-27);5586 days [15 year(s), 3 month(s), 16 day(s)];1952-07-01;Vancouver, British Columbia, Canada;;;;First Reformist elected to the House of Commons.;
Terence (Terry) Wyly Grier, M.P.;professor, economist, lecturer, educational administrator;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];1936-08-12;Lennoxville, Quebec, Canada;2023-03-13;;;;
The Hon. William Antrobus Griesbach, M.P., Senator;lawyer;9898 days [27 year(s), 1 month(s), 6 day(s)];(1917-12-17 - 1921-09-14);1368 days [3 year(s), 8 month(s), 29 day(s)];1878-01-03;Fort Qu'Appelle, Saskatchewan, Canada;1945-01-21 (Died in Office);(1921-09-15 - 1945-01-21);8530 days [23 year(s), 4 month(s), 7 day(s)];;
James Nicol Grieve, M.P.;farmer;1893 days [5 year(s), 2 month(s), 6 day(s)];(1891-03-05 - 1892-04-04)|(1892-05-19 - 1896-06-22);1893 days [5 year(s), 2 month(s), 6 day(s)];1855-07-17;Mornington Township, Canada West;1918-08-04;;;;
The Hon. Diane Griffin, Senator;professor, environmental consultant, senior public servant;1954 days [5 year(s), 4 month(s), 6 day(s)];;;1947-03-18;;;(2016-11-10 - 2022-03-17);1954 days [5 year(s), 4 month(s), 6 day(s)];Awarded the Order of Prince Edward Island (O.P.E.I.) in 2010.;
Lee Elgy Grills, M.P.;dairy farmer, dairy proprietor;4676 days [12 year(s), 9 month(s), 19 day(s)];(1957-06-10 - 1963-04-07)|(1965-11-08 - 1968-06-24)|(1968-06-25 - 1972-10-29);4676 days [12 year(s), 9 month(s), 19 day(s)];1904-04-20;Belleville, Ontario, Canada;1982-11-03;;;;
The Hon. Normand Grimard, Q.C., Senator;lawyer;3551 days [9 year(s), 8 month(s), 21 day(s)];;;1925-06-16;Rigaud, Quebec, Canada;2017-12-28;(1990-09-27 - 2000-06-16);3551 days [9 year(s), 8 month(s), 21 day(s)];;
Robert Watson Grimmer;merchant;3156 days [8 year(s), 7 month(s), 21 day(s)];(1921-12-06 - 1930-07-27);3156 days [8 year(s), 7 month(s), 21 day(s)];1866-10-25;St. Stephen, New Brunswick, Canada;1948-11-04;;;;
Richard Grisé;life insurance broker, businessman;1730 days [4 year(s), 8 month(s), 26 day(s)];(1984-09-04 - 1989-05-30);1730 days [4 year(s), 8 month(s), 26 day(s)];1944-01-15;Saint-Bruno, Quebec, Canada;;;;;
Sadia Groguhé, M.P.;guidance counsellor;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];1962-11-09;Istres, France;;;;;
Gilles Grondin;dean of men, librarian;784 days [2 year(s), 1 month(s), 24 day(s)];(1986-09-29 - 1988-11-20);784 days [2 year(s), 1 month(s), 24 day(s)];1943-02-03;Shawinigan-South, Quebec, Canada;2005-07-18;;;;
David Walter Groos, M.P.;naval officer;3493 days [9 year(s), 6 month(s), 23 day(s)];(1963-04-08 - 1972-10-29);3493 days [9 year(s), 6 month(s), 23 day(s)];1918-04-20;Milwaukee, Wisconsin, United States;1976-01-12;;;;
The Hon. Allister, H.G. Grosart, P.C., Senator;consultant, journalist, columnist, businessman;7021 days [19 year(s), 2 month(s), 20 day(s)];;;1906-12-13;Dublin, Ireland;1984-02-08;(1962-09-24 - 1981-12-13);7021 days [19 year(s), 2 month(s), 20 day(s)];;
Ivan Grose, M.P.;businessman;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];1928-10-08;Toronto, Ontario, Canada;;;;;
Peregrine Maitland Grover;lumberman, farmer;2316 days [6 year(s), 4 month(s), 3 day(s)];(1867-09-20 - 1874-01-21);2316 days [6 year(s), 4 month(s), 3 day(s)];1818-10-17;Haldimand Township, Upper Canada;1885-05-28;;;;
Herbert G. ( Herb) Grubel, M.P.;economist, professor of economics;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];1934-02-26;Frankfurt, Germany;;;;;
Dennis Gruending, M.P.;author, journalist;378 days [1 year(s), 13 day(s)];(1999-11-15 - 2000-11-26);378 days [1 year(s), 13 day(s)];1948-05-18;St. Benedict, Saskatchewan, Canada;;;;;
The Hon. Albina Guarnieri, P.C., M.P.;management consultant, public servant, businesswoman;8197 days [22 year(s), 5 month(s), 10 day(s)];(1988-11-21 - 2004-06-27)|(2004-06-28 - 2011-05-01);8197 days [22 year(s), 5 month(s), 10 day(s)];1953-06-23;Faeto, Italy;;;;;
The Hon. Joseph-Phillippe Guay, P.C., M.P., Senator;merchant, businessman;8137 days [22 year(s), 3 month(s), 11 day(s)];(1968-06-25 - 1978-03-22);3558 days [9 year(s), 8 month(s), 28 day(s)];1915-10-04;Saint-Vital, Manitoba, Canada;2001-07-30;(1978-03-23 - 1990-10-04);4579 days [12 year(s), 6 month(s), 13 day(s)];;
Monique Guay, M.P.;administrator, businesswoman;6398 days [17 year(s), 6 month(s), 6 day(s)];(1993-10-25 - 2004-06-27)|(2004-06-28 - 2011-05-01);6398 days [17 year(s), 6 month(s), 6 day(s)];1959-10-27;Île Bizard, Quebec, Canada;;;;;
Pierre Malcom Guay, M.P.;physician, surgeon;5060 days [13 year(s), 10 month(s), 8 day(s)];(1885-04-14 - 1899-02-19);5060 days [13 year(s), 10 month(s), 8 day(s)];1848-03-26;Saint-Romuald, Canada East;1899-02-19 (Died in Office);;;;
Raynald Joseph Albert Guay, M.P.;lawyer;6353 days [17 year(s), 4 month(s), 22 day(s)];(1963-04-08 - 1980-08-28);6353 days [17 year(s), 4 month(s), 22 day(s)];1933-03-31;Lauzon, Quebec, Canada;2017-01-26;;;;
The Hon. Helena Guergis, P.C., M.P.;policy adviser, political assistant, public servant, businesswoman;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];1969-02-19;Barrie, Ontario, Canada;;;;;
James John Edmund Guérin, C.M., K.C.S.G., M.P.;professor, physician;1733 days [4 year(s), 8 month(s), 29 day(s)];(1925-10-29 - 1930-07-27);1733 days [4 year(s), 8 month(s), 29 day(s)];1856-07-04;Montreal, Canada East;1932-11-10;;;;
The Hon. Jean-Baptiste Guévremont, Senator;farmer;10463 days [28 year(s), 7 month(s), 23 day(s)];;;1826-09-04;Isle-Dupas, Lower Canada;1896-12-05;(1867-10-23 - 1896-06-14);10463 days [28 year(s), 7 month(s), 23 day(s)];;
Édouard Guilbault, M.P.;manufacturer, merchant;2300 days [6 year(s), 3 month(s), 18 day(s)];(1882-06-20 - 1882-11-04)|(1882-12-07 - 1888-11-06);2300 days [6 year(s), 3 month(s), 18 day(s)];1834-04-18;Sainte-Mélanie, Lower Canada;1903-07-08;;;;
Jacques Guilbault, M.P.;professional engineer;7454 days [20 year(s), 4 month(s), 27 day(s)];(1968-06-25 - 1979-05-21)|(1979-05-22 - 1988-11-20);7454 days [20 year(s), 4 month(s), 27 day(s)];1936-10-29;Montreal, Quebec, Canada;;;;;
Jean-Guy Guilbault;businessman;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];1931-03-14;Drummondville, Quebec, Canada;2022-03-04;;;;
Joseph Pierre Octave Guilbault;notary;2279 days [6 year(s), 2 month(s), 27 day(s)];(1911-09-21 - 1917-12-16);2279 days [6 year(s), 2 month(s), 27 day(s)];1870-09-03;Saint-Paul de Joliette, Quebec, Canada;1924-09-27;;;;
The Hon. Steven Guilbeault, P.C., M.P.;ecologist, author, columnist, director;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;;;;French, English
George Guillet, M.P.;merchant;6491 days [17 year(s), 9 month(s), 8 day(s)];(1881-12-19 - 1885-03-17)|(1885-04-17 - 1891-03-04)|(1892-03-15 - 1900-11-06);6491 days [17 year(s), 9 month(s), 8 day(s)];1840-07-19;Cobourg, Upper Canada;1925-01-20;;;;
