Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;Senator;Service in Senate;MP;Service in House of Commons;Language Preference;Notes
The Hon. Joseph-Henri-Gustave Lacasse, Senator;1890-02-07;Sainte-Élisabeth de Joliette, Quebec, Canada;1953-01-18 (Died in Office);editor, physician, author, journalist;9141 days [25 year(s), 10 day(s)];(1928-01-10 - 1953-01-18);9141 days [25 year(s), 10 day(s)];;;;
Élie Lacerte, M.P.;1821-11-15;Saint-Sévère, Lower Canada;1898-03-22;physician, postmaster;1910 days [5 year(s), 2 month(s), 23 day(s)];;;(1868-10-30 - 1874-01-21);1910 days [5 year(s), 2 month(s), 23 day(s)];;
Arthur Lachance, K.C., M.P.;1868-06-22;Québec, Quebec, Canada;1945-03-01;Crown Attorney, crown prosecutor, journalist, lawyer;4715 days [12 year(s), 10 month(s), 28 day(s)];;;(1905-01-19 - 1917-12-16);4715 days [12 year(s), 10 month(s), 28 day(s)];;
Claude-André Lachance, M.P.;1954-04-05;Montreal, Quebec, Canada;;articling student, lawyer;3711 days [10 year(s), 1 month(s), 29 day(s)];;;(1974-07-08 - 1979-05-21)|(1979-05-22 - 1984-09-03);3711 days [10 year(s), 1 month(s), 29 day(s)];;
Georges-C. Lachance, Q.C., M.P.;1926-01-11;Montreal, Quebec, Canada;2020-10-10;lawyer;4403 days [12 year(s), 20 day(s)];;;(1962-06-18 - 1974-07-07);4403 days [12 year(s), 20 day(s)];;
Sévérin Lachapelle, M.P.;1850-09-18;Saint-Rémi de Napierville, Canada East;1913-06-18;physician, author;1341 days [3 year(s), 8 month(s), 2 day(s)];;;(1892-10-21 - 1896-06-22);1341 days [3 year(s), 8 month(s), 2 day(s)];;
Liguori Lacombe, M.P.;1895-06-17;Sainte-Scholastique, Quebec, Canada;1957-04-13;lawyer;6389 days [17 year(s), 5 month(s), 28 day(s)];;;(1925-10-29 - 1930-07-27)|(1935-10-14 - 1948-07-12);6389 days [17 year(s), 5 month(s), 28 day(s)];;
The Hon. Sir Alexandre Lacoste, P.C., K.C., Senator;1842-01-13;Boucherville, Canada East;1923-08-17;lawyer, professor of law;2805 days [7 year(s), 8 month(s), 5 day(s)];(1884-01-11 - 1891-09-15);2805 days [7 year(s), 8 month(s), 5 day(s)];;;;
The Hon. Louis Lacoste, Senator;1798-04-03;Boucherville, Lower Canada;1878-11-26 (Died in Office);notary;4053 days [11 year(s), 1 month(s), 5 day(s)];(1867-10-23 - 1878-11-26);4053 days [11 year(s), 1 month(s), 5 day(s)];;;;
Édouard Lacroix, M.P.;1889-01-06;Sainte-Marie, Quebec, Canada;1963-01-19;lumber merchant, industrialist;6831 days [18 year(s), 8 month(s), 14 day(s)];;;(1925-10-29 - 1944-07-11);6831 days [18 year(s), 8 month(s), 14 day(s)];;
Wilfrid Lacroix, M.P.;1891-03-06;Québec, Quebec, Canada;1970-08-30;architect;8204 days [22 year(s), 5 month(s), 17 day(s)];;;(1935-10-14 - 1958-03-30);8204 days [22 year(s), 5 month(s), 17 day(s)];;
Leon Johnson Ladner, K.C., M.P.;1885-11-29;Ladner, British Columbia, Canada;1978-04-12;lawyer;3156 days [8 year(s), 7 month(s), 21 day(s)];;;(1921-12-06 - 1930-07-27);3156 days [8 year(s), 7 month(s), 21 day(s)];;
Fernand Ladouceur, M.P.;1925-08-02;Sainte-Agathe-des-Monts, Quebec, Canada;1999-12-23;insurance broker;1539 days [4 year(s), 2 month(s), 17 day(s)];;;(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;
Leo Kemner Laflamme, Q.C., M.P.;1893-08-30;Fitchburg, Massachusetts, United States;1989-08-10;lawyer;3636 days [9 year(s), 11 month(s), 14 day(s)];;;(1925-10-29 - 1930-07-27)|(1940-03-26 - 1945-06-10);3636 days [9 year(s), 11 month(s), 14 day(s)];;
The Hon. Napoléon Kemner Laflamme, K.C., M.P., Senator;1868-10-30;Lyster, Canada East;1929-08-10 (Died in Office);lawyer;2022 days [5 year(s), 6 month(s), 13 day(s)];(1927-12-21 - 1929-08-10);599 days [1 year(s), 7 month(s), 21 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;
