Name;Date of Birth (yyyy-mm-dd);Place of Birth;Profession | Occupation;Years of Service;MP;Service in House of Commons;Date of Death (yyyy-mm-dd);Senator;Service in Senate;Language Preference;Cause of Death;Notes
The Hon. Charles Lapointe, P.C., M.P.;1944-07-17;Tadoussac, Quebec, Canada;professor, public servant;3711 days [10 year(s), 1 month(s), 29 day(s)];(1974-07-08 - 1984-09-03);3711 days [10 year(s), 1 month(s), 29 day(s)];;;;;;
The Right Hon. Ernest Lapointe, P.C., K.C., M.P.;1876-10-06;Saint-Éloi, Quebec, Canada;lawyer;13747 days [37 year(s), 7 month(s), 20 day(s)];(1904-02-12 - 1919-10-14)|(1919-10-27 - 1922-01-02)|(1922-01-19 - 1926-10-04)|(1926-11-02 - 1941-11-26);13747 days [37 year(s), 7 month(s), 20 day(s)];1941-11-26 (Died in Office);;;;;
François Lapointe, M.P.;1971-03-26;L'Islet, Quebec, Canada;musician, composer, environmentalist, project coordinator;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
The Hon. Hugues Lapointe, P.C., O.C., C.D., Q.C., M.P.;1911-03-03;Rivière-du-Loup, Quebec, Canada;lawyer;6285 days [17 year(s), 2 month(s), 15 day(s)];(1940-03-26 - 1957-06-09);6285 days [17 year(s), 2 month(s), 15 day(s)];1982-11-13;;;;;
The Hon. Jean Lapointe, Senator;1935-12-06;Price, Quebec, Canada;performer, comedian, singer, actor, raconteur;3464 days [9 year(s), 5 month(s), 25 day(s)];;;2022-11-18;(2001-06-13 - 2010-12-06);3464 days [9 year(s), 5 month(s), 25 day(s)];;;
Linda Lapointe, M.P.;1960-07-02;Laval, Quebec, Canada;manager/owner, supermarket;1828 days [5 year(s), 2 day(s)];(2015-10-19 - 2019-10-20)|(2025-04-28 - );1828 days [5 year(s), 2 day(s)];;;;French, English;;
Louis Audet Lapointe, M.P.;1860-05-16;Contrecoeur, Canada East;liquor merchant, wholesaler;3062 days [8 year(s), 4 month(s), 18 day(s)];(1911-09-21 - 1920-02-07);3062 days [8 year(s), 4 month(s), 18 day(s)];1920-02-07 (Died in Office);;;;;
The Hon. Louise Marguerite Renaude Lapointe, P.C., Senator;1912-01-03;Disraeli, Quebec, Canada;journalist;5534 days [15 year(s), 1 month(s), 25 day(s)];;;2002-05-11;(1971-11-10 - 1987-01-03);5534 days [15 year(s), 1 month(s), 25 day(s)];;;
Normand Lapointe, M.P.;1939-01-02;Saint-Victor, Quebec, Canada;insurance agent;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];2025-10-22;;;;;
Rodney Edward Laporte, M.P.;1953-10-24;Moose Jaw, Saskatchewan, Canada;lawyer, teacher;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;;
