Name;Date of Birth (yyyy-mm-dd);Place of Birth;Profession | Occupation;Years of Service;MP;Service in House of Commons;Notes;Date of Death (yyyy-mm-dd);Senator;Service in Senate;Language Preference
The Hon. K. Kellie Leitch, P.C., M.P.;1970-07-30;Winnipeg, Manitoba, Canada;paediatric orthopaedic surgeon, physician, professor (associate) - medicine;3094 days [8 year(s), 5 month(s), 20 day(s)];(2011-05-02 - 2019-10-20);3094 days [8 year(s), 5 month(s), 20 day(s)];Awarded the Order of Ontario (O.Ont.) in 2009.;;;;
Marc Lemay, M.P.;1951-04-04;Amos, Quebec, Canada;lawyer;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];Inducted into the Canadian Olympic Association Hall of Fame in 2011.;;;;
Denis Lemieux, M.P.;1964;Chicoutimi, Quebec, Canada;engineer, business manager, entrepreneur;775 days [2 year(s), 1 month(s), 15 day(s)];(2015-10-19 - 2017-12-01);775 days [2 year(s), 1 month(s), 15 day(s)];;;;;
Pierre Lemieux, M.P.;1963-04-09;London, Ontario, Canada;mechanical engineer, consultant, company head;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;;
The Hon. Rodolphe Lemieux, P.C., M.P., Senator;1866-11-01;Montreal, Quebec, Canada;lecturer, author, journalist, lawyer;15050 days [41 year(s), 2 month(s), 14 day(s)];(1896-06-23 - 1904-01-28)|(1904-02-20 - 1911-09-20)|(1911-09-21 - 1917-12-16)|(1917-12-17 - 1930-06-02);12375 days [33 year(s), 10 month(s), 18 day(s)];;1937-09-28 (Died in Office);(1930-06-03 - 1937-09-28);2675 days [7 year(s), 3 month(s), 27 day(s)];
Sébastien Lemire, M.P.;;;;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;;French
Frank Exton Lennard, M.P.;1892-04-24;Dundas, Ontario, Canada;merchant, textile dyer;7841 days [21 year(s), 5 month(s), 19 day(s)];(1935-10-14 - 1940-03-25)|(1945-06-11 - 1962-06-17);7841 days [21 year(s), 5 month(s), 19 day(s)];;1973-02-25;;;
Haughton Lennox, M.P.;1850-02-28;Innisfil Township, Canada West;lawyer;4179 days [11 year(s), 5 month(s), 9 day(s)];(1900-11-07 - 1912-04-16);4179 days [11 year(s), 5 month(s), 9 day(s)];;1927-07-26;;;
Thomas Herbert Lennox, K.C., M.P.;1869-04-07;Innisfil Township, Ontario, Canada;lawyer;3109 days [8 year(s), 6 month(s), 4 day(s)];(1925-10-29 - 1934-05-03);3109 days [8 year(s), 6 month(s), 4 day(s)];;1934-05-03 (Died in Office);;;
The Hon. Elijah Leonard, Senator;1814-09-10;Syracuse, New York, United States;foundryman, businessman;8605 days [23 year(s), 6 month(s), 21 day(s)];;;;1891-05-14 (Died in Office);(1867-10-23 - 1891-05-14);8605 days [23 year(s), 6 month(s), 21 day(s)];
Joseph-Édouard-Émile Léonard, M.P.;1872-12-11;Sainte-Rose, Quebec, Canada;lawyer;2476 days [6 year(s), 9 month(s), 11 day(s)];(1902-01-15 - 1908-10-25);2476 days [6 year(s), 9 month(s), 11 day(s)];;1933-09-15;;;
The Hon. Thomas D'Arcy Leonard, Q.C., C.B.E., Senator;1895-04-29;Toronto, Ontario, Canada;barrister;5390 days [14 year(s), 9 month(s), 3 day(s)];;;;1977-05-25;(1955-07-28 - 1970-04-29);5390 days [14 year(s), 9 month(s), 3 day(s)];
Alphonse Télesphore Lépine, M.P.;1855-05-15;Québec, Canada East;printer, journalist;2768 days [7 year(s), 6 month(s), 28 day(s)];(1888-09-26 - 1896-04-24);2768 days [7 year(s), 6 month(s), 28 day(s)];;1943-08-19;;;
Gaston Leroux, M.P.;1948-10-01;Montreal, Quebec, Canada;communication consultant, comedian;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;;
Jean H. Leroux, M.P.;1949-02-06;Granby, Quebec, Canada;teacher;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;;
Charles Alexander Lesage, M.P.;1843-02-25;Saint-Grégoire-le-Grand, Canada East;physician;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;1893-05-15;;;
The Hon. Jean Lesage, P.C., C.C., M.P.;1912-06-10;Montreal, Quebec, Canada;Crown Attorney, lawyer;4751 days [13 year(s), 3 day(s)];(1945-06-11 - 1958-06-13);4751 days [13 year(s), 3 day(s)];;1980-12-12;;;
The Hon. Joseph Arthur Lesage, Senator;1881-06-07;Louiseville, Quebec, Canada;insurance broker;2198 days [6 year(s), 7 day(s)];;;;1950-03-09 (Died in Office);(1944-03-03 - 1950-03-09);2198 days [6 year(s), 7 day(s)];
Joseph Edmond Lesage, M.P.;1871-11-16;Saint-Raymond, Lac-St-Jean, Quebec, Canada;physician, surgeon;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;1941-06-25;;;
William Lesick, M.P.;1923-06-10;Spedden, Alberta, Canada;pharmacist;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;2011-09-09;;;
The Hon. Andrew Leslie, P.C., M.P.;1957-12-26;Ottawa, Ontario, Canada;consultant, information technology executive, military officer;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;;
The Hon. James Leslie;1786-09-04;Kair, Kincardine, Scotland;merchant;2237 days [6 year(s), 1 month(s), 16 day(s)];;;;1873-12-06 (Died in Office);(1867-10-23 - 1873-12-06);2237 days [6 year(s), 1 month(s), 16 day(s)];
Megan Leslie, M.P.;1973-09-29;Toronto, Ontario, Canada;community legal worker, anti-poverty activist;2561 days [7 year(s), 4 day(s)];(2008-10-14 - 2015-10-18);2561 days [7 year(s), 4 day(s)];;;;;
H.-Pit Lessard, M.P.;1913-02-11;Sainte-Germaine, Quebec, Canada;garage owner / operator, agent;5327 days [14 year(s), 7 month(s), 1 day(s)];(1958-03-31 - 1968-06-24)|(1968-06-25 - 1972-10-29);5327 days [14 year(s), 7 month(s), 1 day(s)];;1984-09-10;;;
The Hon. Marcel Lessard, P.C., M.P.;1926-08-14;Alma, Quebec, Canada;foreman;5494 days [15 year(s), 15 day(s)];(1962-06-18 - 1965-11-07)|(1968-06-25 - 1980-02-17);5494 days [15 year(s), 15 day(s)];;2023-11-19;;;
The Hon. Prosper-Edmond Lessard, Senator;1873-02-03;Cranbourne, Quebec, Canada;merchant, broker;2045 days [5 year(s), 7 month(s), 6 day(s)];;;;1931-04-11 (Died in Office);(1925-09-05 - 1931-04-11);2045 days [5 year(s), 7 month(s), 6 day(s)];
Yves Lessard, M.P.;1943-01-02;Saint-Blaise-de-Barville, Quebec, Canada;labour relations consultant, union advisor, agricultural producer, businessman;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;;;
Richard Vryling LeSueur, M.P.;1879-01-28;Sarnia, Ontario, Canada;barrister;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;1945-09-06;;;
Joseph-Étienne Letellier de Saint-Just, M.P.;1880-02-25;Saint-David-de-Lévis, Quebec, Canada;jeweller;1733 days [4 year(s), 8 month(s), 29 day(s)];(1925-10-29 - 1930-07-27);1733 days [4 year(s), 8 month(s), 29 day(s)];;1939-07-07;;;
The Hon. Luc Letellier de Saint-Just, P.C., Senator;1820-05-12;Rivière-Ouelle, Lower Canada;notary;3341 days [9 year(s), 1 month(s), 24 day(s)];;;;1881-01-28;(1867-10-23 - 1876-12-14);3341 days [9 year(s), 1 month(s), 24 day(s)];
René Joseph Eugène Létourneau, M.P.;1912-11-17;Saint-Paul-de-Montmagny, Quebec, Canada;lumber merchant, merchant;1834 days [5 year(s), 8 day(s)];(1958-03-31 - 1963-04-07);1834 days [5 year(s), 8 day(s)];;1986-07-02;;;
Chungsen Leung, M.P.;1950-07-14;Taipei, Taiwan;business executive, entrepreneur, businessman;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;
Sophia Ming Ren Leung, M.P.;1933-07-25;Wuxi, China;business consultant, social worker;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;;
Yvon Lévesque, M.P.;1940-03-10;Lac-au-Saumon, Quebec, Canada;labour relations consultant, electrician, superintendent, foreman, labour representative;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2004-08-31)|(2004-09-01 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;;;
Michael Levitt, M.P.;1970-05-09;Scotland;business executive, business owner;1780 days [4 year(s), 10 month(s), 15 day(s)];(2015-10-19 - 2020-09-01);1780 days [4 year(s), 10 month(s), 15 day(s)];;;;;
The Hon. James Davies Lewin, Senator;1812-04-01;Womaston, County Radnor, Wales;businessman;8522 days [23 year(s), 3 month(s), 30 day(s)];;;;1900-03-11 (Died in Office);(1876-11-10 - 1900-03-11);8522 days [23 year(s), 3 month(s), 30 day(s)];
Arthur John Lewis, M.P.;1879-03-12;Isham, Northamptonshire, England;manager, clergyperson, secretary;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;1961-11-08;;;
Chris Lewis, M.P.;;;city councillor;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;;;;English
David Lewis, Q.C., M.P.;1909-06-23;Swislocz, Poland;lawyer;3458 days [9 year(s), 5 month(s), 19 day(s)];(1962-06-18 - 1963-04-07)|(1965-11-08 - 1974-07-07);3458 days [9 year(s), 5 month(s), 19 day(s)];Father of Stephen Lewis, member of the Ontario Legislative Assembly (1963-78). Grandfather of Avi Lewis, Leader of the New Democratic Party of Canada (2026).;1981-05-23;;;
The Hon. Douglas Grinslade Lewis, P.C., K.C., M.P.;1938-04-17;Toronto, Ontario, Canada;lawyer, chartered accountant;5270 days [14 year(s), 5 month(s), 5 day(s)];(1979-05-22 - 1993-10-24);5270 days [14 year(s), 5 month(s), 5 day(s)];;;;;
Edward Norman Lewis, M.P.;1858-09-18;Goderich, Canada West;lawyer;4792 days [13 year(s), 1 month(s), 14 day(s)];(1904-11-03 - 1917-12-16);4792 days [13 year(s), 1 month(s), 14 day(s)];;1931-02-23;;;
The Hon. John Lewis, Senator;1858-01-17;Toronto, Ontario, Canada;author, journalist;3543 days [9 year(s), 8 month(s), 13 day(s)];;;;1935-05-18 (Died in Office);(1925-09-05 - 1935-05-18);3543 days [9 year(s), 8 month(s), 13 day(s)];
John Bower Lewis, M.P.;1817-03;Paris, France;lawyer;470 days [1 year(s), 3 month(s), 14 day(s)];(1872-10-12 - 1874-01-24);470 days [1 year(s), 3 month(s), 14 day(s)];;1874-01-24 (Died in Office);;;
The Hon. Philip Derek Lewis, Q.C., Senator;1924-11-28;St John's, Newfoundland;barrister and solicitor, lawyer;7921 days [21 year(s), 8 month(s), 8 day(s)];;;;2017-01-19;(1978-03-23 - 1999-11-28);7921 days [21 year(s), 8 month(s), 8 day(s)];
William James Lewis, M.P.;1830-09-25;Hillsborough, New Brunswick, Canada;coroner, physician;3054 days [8 year(s), 4 month(s), 10 day(s)];(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];;1910-06-22;;;
Louis Harrington Lewry, M.P., C.M.;1919-04-16;Moose Jaw, Saskatchewan, Canada;news reporter/announcer;294 days [, 9 month(s), 20 day(s)];(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];;1992-02-24;;;
Laverne Lewycky, M.P.;1946-02-12;Dauphin, Manitoba, Canada;executive assistant, professor of sociology;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;2020-08-03;;;
Ron Liepert, M.P.;1949-10-08;Saltcoats, Saskatchewan, Canada;broadcast journalist, press attaché, public relations consultant, consultant;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;
The Hon. Joël Lightbound, P.C., M.P.;1988-02-08;Toronto, Ontario, Canada;lawyer;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;;French, English
Wendy Lill, M.P.;1950-11-02;Vancouver, British Columbia, Canada;historian, community-development worker, journalist, playwright, writer;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;;
Richard G.J. Limoges, M.P.;1956-01-01;Windsor, Ontario, Canada;bank manager;595 days [1 year(s), 7 month(s), 17 day(s)];(1999-04-12 - 2000-11-26);595 days [1 year(s), 7 month(s), 17 day(s)];;;;;
Clifford Albert Lincoln, M.P.;1928-09-01;Curepipe, Mauritius;environmental consultant, insurance executive, businessman;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;;
James (Jim) Gordon Lind, M.P.;1913-03-08;Westminster Township, Ontario, Canada;lumber merchant;2548 days [6 year(s), 11 month(s), 22 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1972-10-29);2548 days [6 year(s), 11 month(s), 22 day(s)];;1980-04-22;;;
Urbain Lippé, M.P.;1831-07-22;L'Assomption, Lower Canada;notary;1937 days [5 year(s), 3 month(s), 20 day(s)];(1891-03-05 - 1896-06-22);1937 days [5 year(s), 3 month(s), 20 day(s)];;1896-12-19;;;
James Frederick Lister, M.P.;1843-06-21;Belleville, Canada West;lawyer;5845 days [16 year(s), 1 day(s)];(1882-06-20 - 1898-06-20);5845 days [16 year(s), 1 day(s)];;1902-02-09;;;
The Hon. Edgar Sydney Little, Senator;1885-11-05;London, Ontario, Canada;wholesaler;5826 days [15 year(s), 11 month(s), 12 day(s)];;;;1943-12-22 (Died in Office);(1928-01-10 - 1943-12-22);5826 days [15 year(s), 11 month(s), 12 day(s)];
Walter Little, M.P.;1877-03-25;Beachburg, Ontario, Canada;contractor;6510 days [17 year(s), 9 month(s), 27 day(s)];(1935-10-14 - 1953-08-09);6510 days [17 year(s), 9 month(s), 27 day(s)];;1961-05-31;;;
William Caruthers Little, M.P.;1820-09-20;Gloucestershire, England;farmer;5217 days [14 year(s), 3 month(s), 13 day(s)];(1867-09-20 - 1881-12-31);5217 days [14 year(s), 3 month(s), 13 day(s)];;1881-12-31 (Died in Office);;;
Wilton (Willie) Littlechild, M.P.;1944-04-01;Hobbema, Alberta, Canada;barrister and solicitor, lawyer, businessman;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];Member of the Ermineskin Cree Nation of Alberta.;;;;
