Name;Date of Birth (yyyy-mm-dd);Place of Birth;Profession | Occupation;Years of Service;MP;Service in House of Commons;Date of Death (yyyy-mm-dd);Notes;Senator;Service in Senate;Cause of Death;Language Preference
Eric Lowther, M.P.;1954-08-31;Regina, Saskatchewan, Canada;business manager;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;;;
George di Madeiros Loy, M.P.;1840-11-27;Coteau-Landing, Lower Canada;farmer;1435 days [3 year(s), 11 month(s), 4 day(s)];(1900-11-07 - 1902-03-03)|(1902-03-26 - 1904-11-02);1435 days [3 year(s), 11 month(s), 4 day(s)];1936-12-14;;;;;
William Thomas Lucas, M.P.;1875-07-26;Bailieboro, Ontario, Canada;farmer;5060 days [13 year(s), 10 month(s), 8 day(s)];(1921-12-06 - 1925-10-28)|(1925-10-29 - 1935-10-13);5060 days [13 year(s), 10 month(s), 8 day(s)];1973-03-27;;;;;
Michael Luchkovich, M.P.;1892-11-13;Shamokin, Pennsylvania, United States;teacher;3317 days [9 year(s), 30 day(s)];(1926-09-14 - 1935-10-13);3317 days [9 year(s), 30 day(s)];1973-04-21;First Canadian of Ukrainian origin elected to the House of Commons. (Source Encyclopedia of Canada's peoples);;;;
The Hon. Paul Lucier, Senator;1930-07-29;La Salle, Ontario, Canada;businessman;8675 days [23 year(s), 9 month(s)];;;1999-07-23 (Died in Office);;(1975-10-23 - 1999-07-23);8675 days [23 year(s), 9 month(s)];;
Karen Ludwig, M.P.;;;dean (associate), educator, business owner, instructor;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;;;
Tom Lukiwski, M.P.;1951-10-05;Esterhazy, Saskatchewan, Canada;political administrator, businessman;6293 days [17 year(s), 2 month(s), 23 day(s)];(2004-06-28 - 2015-10-18)|(2015-10-19 - 2021-09-19);6293 days [17 year(s), 2 month(s), 23 day(s)];;;;;;
The Hon. Edward C. Lumley, P.C., M.P.;1939-10-27;Windsor, Ontario, Canada;businessman;3711 days [10 year(s), 1 month(s), 29 day(s)];(1974-07-08 - 1984-09-03);3711 days [10 year(s), 1 month(s), 29 day(s)];2025-04-16;;;;;
John Howard Lundrigan, M.P.;1939-01-10;Upper Island Cove, Newfoundland;businessman, teacher;2204 days [6 year(s), 13 day(s)];(1968-06-25 - 1974-07-07);2204 days [6 year(s), 13 day(s)];2009-03-05;;;;;
The Hon. Gary Lunn, P.C., M.P.;1957-05-08;Trail, British Columbia, Canada;lawyer;5082 days [13 year(s), 10 month(s), 30 day(s)];(1997-06-02 - 2011-05-01);5082 days [13 year(s), 10 month(s), 30 day(s)];;;;;;
James Lunney, M.P.;1951-09-05;Winnipeg, Manitoba, Canada;chiropractor;5439 days [14 year(s), 10 month(s), 22 day(s)];(2000-11-27 - 2015-10-18);5439 days [14 year(s), 10 month(s), 22 day(s)];;;;;;
Azel Randolph Lusby, M.P.;1907-08-23;Amherst, Nova Scotia, Canada;barrister;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];1995-08-30;;;;;
Marcel Lussier, M.P.;1944-06-30;Saint-Damase, Quebec, Canada;engineer;995 days [2 year(s), 8 month(s), 22 day(s)];(2006-01-23 - 2008-10-13);995 days [2 year(s), 8 month(s), 22 day(s)];;;;;;
