Name;Date of Birth (yyyy-mm-dd);Place of Birth;Profession | Occupation;Years of Service;MP;Service in House of Commons;Date of Death (yyyy-mm-dd);Senator;Service in Senate;Notes;Language Preference;Cause of Death
Michel Bellehumeur, M.P.;1963-01-21;Louiseville, Quebec, Canada;lawyer;3128 days [8 year(s), 6 month(s), 23 day(s)];(1993-10-25 - 2002-05-18);3128 days [8 year(s), 6 month(s), 23 day(s)];;;;;;
Adélard Bellemare, M.P.;1871-03-02;Saint-Paulin, Quebec, Canada;teacher;2279 days [6 year(s), 2 month(s), 27 day(s)];(1911-09-21 - 1917-12-16);2279 days [6 year(s), 2 month(s), 27 day(s)];1933-03-24;;;;;
The Hon. Diane Bellemare, Senator;;;professor, economist, executive manager;4420 days [12 year(s), 1 month(s), 7 day(s)];;;;(2012-09-06 - 2024-10-12);4420 days [12 year(s), 1 month(s), 7 day(s)];;;
Eugène Bellemare, M.P.;1932-04-06;Ottawa, Ontario, Canada;administrator (continuing education), teacher;5698 days [15 year(s), 7 month(s), 6 day(s)];(1988-11-21 - 1997-06-01)|(1997-06-02 - 2000-06-28)|(2000-06-29 - 2004-06-27);5698 days [15 year(s), 7 month(s), 6 day(s)];2018-07-06;;;Father of Michel Bellemare, councillor of the Regional Municipality of Ottawa–Carleton (1994-2000), councillor of the City of Ottawa (2001-2010), and acting mayor of Ottawa, from May 2, to July 9, 2009.;;
The Hon. Joseph Hyacinthe Bellerose, M.P., Senator;1820-07-12;Trois-Rivières, Lower Canada;businessman;11651 days [31 year(s), 10 month(s), 24 day(s)];(1867-09-20 - 1873-10-06);2209 days [6 year(s), 18 day(s)];1899-08-13 (Died in Office);(1873-10-07 - 1899-08-13);9442 days [25 year(s), 10 month(s), 7 day(s)];Insisted that the record of the Senate's Debates be translated into French, official records of Senate Debates in French were introduced in 1896.;;
The Hon. Louis de Gonzague Belley, P.C., K.C., M.P.;1863-02-03;Saint-Alexis de la Grande Baie, Canada East;lawyer;1408 days [3 year(s), 10 month(s), 8 day(s)];(1892-08-16 - 1896-06-23);1408 days [3 year(s), 10 month(s), 8 day(s)];1930-07-09;;;;;
Ross Belsher, M.P.;1933-01-19;Kincaid, Saskatchewan, Canada;store manager;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];2003-12-12;;;;;
Alfred Belzile, M.P.;1907-08-24;Amqui, Quebec, Canada;farmer;1834 days [5 year(s), 8 day(s)];(1958-03-31 - 1963-04-07);1834 days [5 year(s), 8 day(s)];1994-08-18;;;;;
Gleason Belzile, M.P.;1898-08-30;Rimouski, Quebec, Canada;notary;1871 days [5 year(s), 1 month(s), 15 day(s)];(1945-06-11 - 1950-07-25);1871 days [5 year(s), 1 month(s), 15 day(s)];1950-07-25 (Died in Office);;;;;
The Hon. Aimé Bénard, Senator;1873-11-21;Henryville, Quebec, Canada;farmer, financial agent / adviser / consultant;7433 days [20 year(s), 4 month(s), 6 day(s)];;;1938-01-08 (Died in Office);(1917-09-03 - 1938-01-08);7433 days [20 year(s), 4 month(s), 6 day(s)];;;
Alfred Henry Bence, M.P.;1908-10-18;Lanigan, Saskatchewan, Canada;barrister;1757 days [4 year(s), 9 month(s), 22 day(s)];(1940-08-19 - 1945-06-10);1757 days [4 year(s), 9 month(s), 22 day(s)];1977-05-27;;;;;
The Hon. John Joseph Bench, K.C., Senator;1905-05-01;St. Catharines, Ontario, Canada;lawyer;1847 days [5 year(s), 21 day(s)];;;1947-12-09 (Died in Office);(1942-11-19 - 1947-12-09);1847 days [5 year(s), 21 day(s)];;;
The Hon. Rachel Bendayan, M.P., P.C.;;Montreal, Quebec, Canada;lawyer;2619 days [7 year(s), 2 month(s), 1 day(s)];(2019-02-25 - );2619 days [7 year(s), 2 month(s), 1 day(s)];;;;;English, French;
The Hon. William Moore Benidickson, P.C., M.P., Senator;1911-04-08;Dauphin, Manitoba, Canada;barrister;14453 days [39 year(s), 6 month(s), 25 day(s)];(1945-06-11 - 1965-07-06);7331 days [20 year(s), 26 day(s)];1985-01-04 (Died in Office);(1965-07-07 - 1985-01-04);7122 days [19 year(s), 5 month(s), 30 day(s)];;;
Leslie Gordon Benjamin, M.P.;1925-04-29;Medicine Hat, Alberta, Canada;telegrapher, manager, railway station agent, secretary;9253 days [25 year(s), 4 month(s)];(1968-06-25 - 1979-05-21)|(1979-05-22 - 1988-11-20)|(1988-11-21 - 1993-10-24);9253 days [25 year(s), 4 month(s)];2003-06-16;;;;;
The Hon. Carolyn Bennett, P.C., M.P.;1950-12-20;Toronto, Ontario, Canada;physician, ambassador, diplomat;9725 days [26 year(s), 7 month(s), 16 day(s)];(1997-06-02 - 2015-10-18)|(2015-10-19 - 2024-01-16);9725 days [26 year(s), 7 month(s), 16 day(s)];;;;;;
Colin Emerson Bennett, Q.C., M.P.;1908-03-05;Meaford, Ontario, Canada;lawyer;2905 days [7 year(s), 11 month(s), 13 day(s)];(1949-06-27 - 1957-06-09);2905 days [7 year(s), 11 month(s), 13 day(s)];1993-04-30;;;;;
The Right Hon. Richard Bedford Bennett, P.C., K.C., M.P.;1870-07-03;Hopewell, New Brunswick, Canada;barrister, lawyer, teacher;7119 days [19 year(s), 5 month(s), 27 day(s)];(1911-09-21 - 1917-12-16)|(1925-10-29 - 1939-01-28);7119 days [19 year(s), 5 month(s), 27 day(s)];1947-06-26;;;;;heart failure
Sybil Bennett, Q.C., M.P.;1904-02-07;St. George, Ontario, Canada;lawyer;1191 days [3 year(s), 3 month(s), 4 day(s)];(1953-08-10 - 1956-11-12);1191 days [3 year(s), 3 month(s), 4 day(s)];1956-11-12 (Died in Office);;;;;
