Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;Senator;Service in Senate;MP;Service in House of Commons;Notes;Language Preference;Cause of Death
The Hon. Frank Bunting Black, Senator;1869-02-28;Sackville, New Brunswick, Canada;1945-02-28 (Died in Office);lumber merchant, manufacturer, president / manager;8497 days [23 year(s), 3 month(s), 5 day(s)];(1921-11-25 - 1945-02-28);8497 days [23 year(s), 3 month(s), 5 day(s)];;;;;
The Hon. George Black, P.C., K.C., M.P.;1873-04-10;Woodstock, New Brunswick, Canada;1965-08-23;barrister, lawyer;8440 days [23 year(s), 1 month(s), 9 day(s)];;;(1921-12-06 - 1935-10-13)|(1940-03-26 - 1949-06-26);8440 days [23 year(s), 1 month(s), 9 day(s)];;;
Judson Burpee Black, M.P.;1842-08-15;St. Martins, New Brunswick, Canada;1924-12-09;physician;2513 days [6 year(s), 10 month(s), 18 day(s)];;;(1904-11-03 - 1911-09-20);2513 days [6 year(s), 10 month(s), 18 day(s)];;;
Martha Louise Black, M.P.;1866-02-24;Chicago, Illinois, United States;1957-10-31;homemaker, author;1625 days [4 year(s), 5 month(s), 12 day(s)];;;(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];First woman from Northern Canada (Yukon, 1935) elected to the House of Commons.;;
Percy Chapman Black, M.P.;1878-01-11;Amherst, Nova Scotia, Canada;1961-09-16;farmer, businessman;4885 days [13 year(s), 4 month(s), 15 day(s)];;;(1940-03-26 - 1953-08-09);4885 days [13 year(s), 4 month(s), 15 day(s)];;;
The Hon. Robert Black, Senator;;;;public servant;2994 days [8 year(s), 2 month(s), 11 day(s)];(2018-02-15 - );2994 days [8 year(s), 2 month(s), 11 day(s)];;;;English;
The Hon. Thomas Reuben Black, Senator;1832-10-16;Amherst, Nova Scotia, Canada;1905-09-14 (Died in Office);farmer, builder;462 days [1 year(s), 3 month(s), 6 day(s)];(1904-06-10 - 1905-09-14);462 days [1 year(s), 3 month(s), 6 day(s)];;;;;
William Black, M.P.;1869-03-22;McKillip Township, Ontario, Canada;1930-05-03;farmer;1423 days [3 year(s), 10 month(s), 23 day(s)];;;(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;
The Hon. William Anderson Black, P.C., M.P.;1847-10-09;Windsor, Nova Scotia, Canada;1934-09-01 (Died in Office);shipper, businessman;3924 days [10 year(s), 8 month(s), 29 day(s)];;;(1923-12-05 - 1934-09-01);3924 days [10 year(s), 8 month(s), 29 day(s)];;;
Edward Blackadder, M.P.;1874-04-18;Wolfville, Nova Scotia, Canada;1922-10-22 (Died in Office);professor, lecturer, physician, editorial writer;321 days [, 10 month(s), 17 day(s)];;;(1921-12-06 - 1922-10-22);321 days [, 10 month(s), 17 day(s)];;;
Derek Nigel Ernest Blackburn, M.P.;1934-06-16;Sault Ste Marie, Ontario, Canada;2017-10-12;teacher;8037 days [22 year(s), 2 day(s)];;;(1971-05-31 - 1993-05-31);8037 days [22 year(s), 2 day(s)];;;
The Hon. Jean-Pierre Blackburn, P.C., M.P.;1948-07-06;Jonquière, Quebec, Canada;;professor - community college, manager, ambassador, administrator;5263 days [14 year(s), 4 month(s), 28 day(s)];;;(1984-09-04 - 1993-10-24)|(2006-01-23 - 2011-05-01);5263 days [14 year(s), 4 month(s), 28 day(s)];;;
Robert Blackburn, M.P.;1828-12-17;Glasgow, Scotland;1894-08-12;merchant;1699 days [4 year(s), 7 month(s), 25 day(s)];;;(1874-01-22 - 1878-09-16);1699 days [4 year(s), 7 month(s), 25 day(s)];;;
John Horne Blackmore, M.P.;1890-03-27;Sublett, Idaho, United States;1971-05-02;school principal, teacher;8204 days [22 year(s), 5 month(s), 17 day(s)];;;(1935-10-14 - 1958-03-30);8204 days [22 year(s), 5 month(s), 17 day(s)];;;
Daniel Blaikie, M.P.;;Transcona, Manitoba, Canada;;electrician, political assistant;3087 days [8 year(s), 5 month(s), 13 day(s)];;;(2015-10-19 - 2024-03-31);3087 days [8 year(s), 5 month(s), 13 day(s)];;;
The Hon. Rev. William (Bill) Alexander Blaikie, P.C., M.P.;1951-06-19;Winnipeg, Manitoba, Canada;2022-09-24;clergyperson;10738 days [29 year(s), 4 month(s), 24 day(s)];;;(1979-05-22 - 1988-11-20)|(1988-11-21 - 1997-06-01)|(1997-06-02 - 2004-06-27)|(2004-06-28 - 2008-10-13);10738 days [29 year(s), 4 month(s), 24 day(s)];;;
David Blain, M.P.;1832-08-12;Ayr, Scotland;1909-05-06;lawyer, teacher;2166 days [5 year(s), 11 month(s), 5 day(s)];;;(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];;;
The Hon. Richard Blain, M.P., Senator;1857-12-08;Vienna, Canada West;1926-11-27 (Died in Office);merchant;9517 days [26 year(s), 21 day(s)];(1917-07-26 - 1926-11-27);3412 days [9 year(s), 4 month(s), 3 day(s)];(1900-11-07 - 1917-07-25);6105 days [16 year(s), 8 month(s), 18 day(s)];;;
The Hon. Adam Johnston Fergusson Blair, P.C., Senator;1815-11-04;Perthshire, Scotland;1867-12-30 (Died in Office);judge, lawyer;69 days [, 2 month(s), 8 day(s)];(1867-10-23 - 1867-12-30);69 days [, 2 month(s), 8 day(s)];;;Born Fergusson, heir to the estate of Balthayock (Scotland) in 1862, assumed the name of Blair.;;
The Hon. Andrew George Blair, P.C., K.C., M.P.;1844-03-07;Fredericton, New Brunswick, Canada;1907-01-25;lecturer, lawyer;2680 days [7 year(s), 4 month(s), 1 day(s)];;;(1896-08-25 - 1900-11-06)|(1900-11-07 - 1903-12-27);2680 days [7 year(s), 4 month(s), 1 day(s)];;;
The Hon. Bill Blair, P.C., M.P.;1954;Scarborough, Ontario, Canada;;police officer, police chief;3759 days [10 year(s), 3 month(s), 16 day(s)];;;(2015-10-19 - 2026-02-01);3759 days [10 year(s), 3 month(s), 16 day(s)];;;
Duncan Gordon Blair, Q.C., M.P.;1919-12-23;Regina, Saskatchewan, Canada;2006-06-14;solicitor, barrister;1588 days [4 year(s), 4 month(s), 5 day(s)];;;(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;
John Knox Blair, M.P.;1875-11-19;Caledon, Ontario, Canada;1950-11-11;physician, teacher;5432 days [14 year(s), 10 month(s), 15 day(s)];;;(1930-07-28 - 1945-06-10);5432 days [14 year(s), 10 month(s), 15 day(s)];;;
William Gourlay Blair, M.P.;1890-01-13;Bathurst Township, Ontario, Canada;1957-06-16 (Died in Office);physician;4389 days [12 year(s), 6 day(s)];;;(1945-06-11 - 1957-06-16);4389 days [12 year(s), 6 day(s)];;;
William John Blair, M.P.;1875-10-13;Embro, Ontario, Canada;1943-04-24;farmer, engineer, teacher;1450 days [3 year(s), 11 month(s), 19 day(s)];;;(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;
The Hon. Aristide Blais;1875-10-18;Berthier, Quebec, Canada;1964-11-10 (Died in Office);physician, surgeon;9053 days [24 year(s), 9 month(s), 13 day(s)];(1940-01-29 - 1964-11-10);9053 days [24 year(s), 9 month(s), 13 day(s)];;;;;
François (Frank) Blais, M.P.;1875-08-22;Saint-Paul-de-Montminy, Quebec, Canada;1949-06-02;lumber merchant, farmer, contractor;1625 days [4 year(s), 5 month(s), 12 day(s)];;;(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;
The Hon. Jean-Jacques Blais, P.C., K.C., M.P.;1940-06-27;Sturgeon Falls, Ontario, Canada;;lawyer;4327 days [11 year(s), 10 month(s), 5 day(s)];;;(1972-10-30 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;
The Hon. Pierre Blais, P.C., M.P.;1948-12-30;Berthier-sur-mer, Quebec, Canada;;lawyer, judge;3338 days [9 year(s), 1 month(s), 21 day(s)];;;(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;
Raynald Blais, M.P.;1954-01-05;Port-Daniel, Quebec, Canada;2023-09-26;journalist, political assistant;2499 days [6 year(s), 10 month(s), 4 day(s)];;;(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;
The Hon. Suzanne Blais-Grenier, P.C., M.P.;1936-03-02;;2017-06-13;economist, executive director, sociologist;1539 days [4 year(s), 2 month(s), 17 day(s)];;;(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;
The Hon. Edward Blake, P.C., Q.C., M.P.;1833-10-13;Adelaide Township, Upper Canada;1912-03-01;lawyer;8127 days [22 year(s), 3 month(s), 1 day(s)];;;(1867-09-20 - 1872-10-11)|(1872-10-12 - 1875-05-18)|(1875-06-02 - 1878-09-16)|(1879-11-17 - 1891-03-04);8127 days [22 year(s), 3 month(s), 1 day(s)];Irish Nationalist MP in the British House of Commons for South Longford, 1892-1907.;;
Matthew Robert Blake, M.P.;1876-01-08;Ashfield Township, Ontario, Canada;1937-11-21;physician, surgeon;1450 days [3 year(s), 11 month(s), 19 day(s)];;;(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;
The Hon. Oliver Blake, Senator;1802-10-31;New Hampton, New Hampshire, United States;1873-12-10 (Died in Office);clerk;2241 days [6 year(s), 1 month(s), 20 day(s)];(1867-10-23 - 1873-12-10);2241 days [6 year(s), 1 month(s), 20 day(s)];;;;;
Roderick Blaker, M.P.;1936-11-23;Montreal, Quebec, Canada;;announcer, journalist, lawyer;4327 days [11 year(s), 10 month(s), 5 day(s)];;;(1972-10-30 - 1974-07-07)|(1974-07-08 - 1979-05-21)|(1979-05-22 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;
Stanislas Blanchard, M.P.;1871-12-02;Rustico, Prince Edward Island, Canada;1949-12-07;gentleman;1413 days [3 year(s), 10 month(s), 13 day(s)];;;(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;
Théotime Blanchard, M.P.;1844-05-08;Caraquet, New Brunswick, Canada;1911-03-11;farmer, judge, merchant, teacher;2377 days [6 year(s), 6 month(s), 3 day(s)];;;(1894-05-05 - 1900-11-06);2377 days [6 year(s), 6 month(s), 3 day(s)];;;
Jean Baptiste Blanchet, K.C., M.P.;1842-10;Saint-Damase, Canada East;1904-08-31 (Died in Office);lawyer;198 days [, 6 month(s), 15 day(s)];;;(1904-02-16 - 1904-08-31);198 days [, 6 month(s), 15 day(s)];;;
Joseph-Godric Blanchet, M.P.;1829-06-07;Saint-Pierre, Lower Canada;1890-01-01;physician;5189 days [14 year(s), 2 month(s), 15 day(s)];;;(1867-09-20 - 1874-01-21)|(1875-11-23 - 1878-09-16)|(1878-09-17 - 1883-10-04);5189 days [14 year(s), 2 month(s), 15 day(s)];The names Godric, Godéric and Goderic are used interchangeably in different sources.;;
Yves-François Blanchet, M.P.;1965-04-14;Drummondville, Quebec, Canada;;;2381 days [6 year(s), 6 month(s), 7 day(s)];;;(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];;French;
