Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Language Preference;Notes;Senator;Service in Senate
Maurice Breton, M.P.;1909-08-15;Joliette, Quebec, Canada;2001-06-03;lawyer;2736 days [7 year(s), 5 month(s), 27 day(s)];(1950-10-03 - 1958-03-30);2736 days [7 year(s), 5 month(s), 27 day(s)];;;;
Pierre Breton, M.P.;1966-10-03;Granby, Quebec, Canada;;human resources consultant, personnel consultant, administrator;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;
Francis Andrew Brewin, Q.C., M.P.;1907-09-03;Brighton, England;1983-09-21;barrister, author, lawyer, counsel;6182 days [16 year(s), 11 month(s), 3 day(s)];(1962-06-18 - 1979-05-21);6182 days [16 year(s), 11 month(s), 3 day(s)];;;;
John F. Brewin, M.P.;1936-09-14;Toronto, Ontario, Canada;;journalist, lawyer;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
The Hon. Hedley Francis Gregory Bridges, P.C., M.P.;1902-04-07;Fredericton, New Brunswick, Canada;1947-08-10 (Died in Office);barrister, school principal, teacher;791 days [2 year(s), 1 month(s)];(1945-06-11 - 1947-08-10);791 days [2 year(s), 1 month(s)];;;;
Margaret Bridgman, M.P.;1940-01-10;Kimberley, British Columbia, Canada;2009-01-04;police officer, nurse, administrator;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
James Brien, M.P.;1848-02-04;Howard Township, Canada West;1907-08-10;physician;1472 days [4 year(s), 11 day(s)];(1887-02-22 - 1891-03-04);1472 days [4 year(s), 11 day(s)];;;;
John Wesley Brien, M.P.;1868-11-24;Victoria County, Canada West;1949-01-11;physician;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
Pierre Brien, M.P.;1970-06-22;Ville-Marie, Quebec, Canada;;economist, administrator;3428 days [9 year(s), 4 month(s), 19 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2003-03-14);3428 days [9 year(s), 4 month(s), 19 day(s)];;;;
The Hon. Élisabeth Brière, P.C., M.P.;;;;notary;2381 days [6 year(s), 6 month(s), 7 day(s)];(2019-10-21 - );2381 days [6 year(s), 6 month(s), 7 day(s)];French;;;
