Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Language Preference;Senator;Service in Senate;Notes
Joseph William Burton, M.P.;1892-10-12;Pittsburg, Kansas, United States;1960-08-01;farmer;2149 days [5 year(s), 10 month(s), 19 day(s)];(1943-08-09 - 1949-06-26);2149 days [5 year(s), 10 month(s), 19 day(s)];;;;
Ambrose Upton Gledstanes Bury, K.C., M.P.;1869-08-01;Dalhousie, County Kildare, Ireland;1951-03-29;barrister;2225 days [6 year(s), 1 month(s), 4 day(s)];(1925-10-29 - 1926-09-13)|(1930-07-28 - 1935-10-14);2225 days [6 year(s), 1 month(s), 4 day(s)];;;;
The Hon. Pierre Bussières, P.C.,;1939-07-08;Normandin, Quebec, Canada;2014-08-15;executive assistant;3711 days [10 year(s), 1 month(s), 29 day(s)];(1974-07-08 - 1979-05-21)|(1979-05-22 - 1984-09-03);3711 days [10 year(s), 1 month(s), 29 day(s)];;;;
The Hon. Bev Busson, Senator;;;;police officer;2773 days [7 year(s), 7 month(s), 3 day(s)];;;English;(2018-09-24 - );2773 days [7 year(s), 7 month(s), 3 day(s)];
Harry Butcher, M.P.;1873-12-15;Greenwich, England;1956-12-29;barrister;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;
The Hon. JoAnne L. Buth, Senator;1954-05-23;British Columbia, Canada;;president / manager;948 days [2 year(s), 7 month(s), 5 day(s)];;;;(2012-01-06 - 2014-08-10);948 days [2 year(s), 7 month(s), 5 day(s)];
Stephen (Steve) Ernest Joseph Butland, M.P.;1941-03-26;Sault Ste Marie, Ontario, Canada;2025-10-15;school principal, teacher;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;
Brad Butt, M.P.;1967-05-10;Ottawa, Ontario, Canada;;municipal administrator, community activist;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;
The Hon. Sister Peggy Butts, Senator;1924-08-15;Glace Bay, Nova Scotia, Canada;2004-03-06;social activist, educator, clergyperson;693 days [1 year(s), 10 month(s), 24 day(s)];;;;(1997-09-22 - 1999-08-15);693 days [1 year(s), 10 month(s), 24 day(s)];
Robert Hamilton Butts, M.P.;1871-08-04;Port Morien, Nova Scotia, Canada;1943-11-29;barrister, lawyer;1450 days [3 year(s), 11 month(s), 19 day(s)];(1917-12-17 - 1921-12-05);1450 days [3 year(s), 11 month(s), 19 day(s)];;;;
The Hon. Gerry Byrne, P.C., M.P.;1966-09-27;Corner Brook, Newfoundland and Labrador, Canada;;environmental technologist, policy adviser;7147 days [19 year(s), 6 month(s), 24 day(s)];(1996-03-25 - 2015-10-18);7147 days [19 year(s), 6 month(s), 24 day(s)];;;;
James Allen (Jim) Byrne, M.P.;1911-01-27;Grand Rapids, Minnesota, United States;1975-09-05;miner, union officer;5398 days [14 year(s), 9 month(s), 11 day(s)];(1949-06-27 - 1958-03-30)|(1962-06-18 - 1968-06-24);5398 days [14 year(s), 9 month(s), 11 day(s)];;;;
The Hon. Charles L. Caccia, P.C., M.P.;1930-04-28;Milan, Italy;2008-05-03;economist, educator, publisher;13152 days [36 year(s), 3 day(s)];(1968-06-25 - 2004-06-27);13152 days [36 year(s), 3 day(s)];;;;First Canadian of Italian origin appointed Cabinet Minister. (Source Encyclopedia of Canada's peoples)
Albert C. (Bert) Cadieu, M.P.;1903-06-28;Prince Albert, Saskatchewan, Canada;1990-10-31;farmer, contractor, rancher;7106 days [19 year(s), 5 month(s), 14 day(s)];(1958-03-31 - 1972-10-29)|(1974-07-08 - 1979-05-21);7106 days [19 year(s), 5 month(s), 14 day(s)];;;;
The Hon. Léo Alphonse Joseph Cadieux, P.C., O.C., M.P.;1908-05-28;Saint-Jérôme, Quebec, Canada;2005-05-11;ambassador, journalist, publisher;3032 days [8 year(s), 3 month(s), 19 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1970-10-05);3032 days [8 year(s), 3 month(s), 19 day(s)];;;;
The Hon. Pierre H. Cadieux, P.C., M.P.;1948-04-06;Hudson, Quebec, Canada;;lawyer;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;
Chuck Cadman, M.P.;1948-02-21;Kitchener, Ontario, Canada;2005-07-09 (Died in Office);musician, certified electrical and engineering technician;2960 days [8 year(s), 1 month(s), 8 day(s)];(1997-06-02 - 2005-07-09);2960 days [8 year(s), 1 month(s), 8 day(s)];;;;
Dona Cadman, M.P.;1950-07-09;Chilliwack, British Columbia, Canada;;advocate, public servant;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;;
Celina Caesar-Chavannes, M.P.;1974-06-24;Grenada;;research consultant, lecturer, entrepreneur;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;
The Hon. Norman Augustine Cafik, P.C., M.P.;1928-12-29;Toronto, Ontario, Canada;2016-09-30;publisher;3983 days [10 year(s), 10 month(s), 27 day(s)];(1968-06-25 - 1979-05-21);3983 days [10 year(s), 10 month(s), 27 day(s)];;;;
The Hon. Charles Hazlitt Cahan, P.C., K.C., M.P.;1861-10-31;Hebron, Nova Scotia, Canada;1944-08-15;newspaper editor, lawyer, counsel;5244 days [14 year(s), 4 month(s), 9 day(s)];(1925-10-29 - 1930-08-06)|(1930-08-25 - 1940-03-25);5244 days [14 year(s), 4 month(s), 9 day(s)];;;;
Frank S. Cahill, M.P.;1876-01-27;Calumet Island, Quebec, Canada;1934-04-17;real estate broker, clerk;4606 days [12 year(s), 7 month(s), 10 day(s)];(1917-12-17 - 1930-07-27);4606 days [12 year(s), 7 month(s), 10 day(s)];;;;
