Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference
Alexis Pierre Caron, M.P.;1899-03-08;Hull, Quebec, Canada;1966-08-31 (Died in Office);insurance broker;4770 days [13 year(s), 22 day(s)];(1953-08-10 - 1966-08-31);4770 days [13 year(s), 22 day(s)];;;;
André Caron, M.P.;1944-12-18;Jonquière, Quebec, Canada;1997-01-10 (Died in Office);clergyperson, guidance counsellor;1174 days [3 year(s), 2 month(s), 17 day(s)];(1993-10-25 - 1997-01-10);1174 days [3 year(s), 2 month(s), 17 day(s)];;;;
George Caron, M.P.;1823-03-03;Rivière-du-Loup, Lower Canada;1902-05-14;merchant;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;
Guy Caron, M.P.;1968-05-13;Rimouski, Quebec, Canada;;economist, public relations officer, journalist, researcher;3094 days [8 year(s), 5 month(s), 20 day(s)];(2011-05-02 - 2015-08-01)|(2015-08-02 - 2019-10-20);3094 days [8 year(s), 5 month(s), 20 day(s)];;;;
Jean-Baptiste Thomas Caron, M.P.;1869-11-16;Garneau, Quebec, Canada;1944-08-07;lawyer;309 days [, 10 month(s), 5 day(s)];(1907-12-23 - 1908-10-26);309 days [, 10 month(s), 5 day(s)];;;;
Pierre Caron, M.P.;1936-08-31;Hull, Quebec, Canada;;insurance broker;393 days [1 year(s), 28 day(s)];(1967-05-29 - 1968-06-24);393 days [1 year(s), 28 day(s)];;;;
Yves Caron, M.P.;1937-09-27;Saint-Georges, Quebec, Canada;2023-08-28;distributor - beer, sales representative, sales agent, accounting clerk;2395 days [6 year(s), 6 month(s), 21 day(s)];(1972-10-30 - 1979-05-21);2395 days [6 year(s), 6 month(s), 21 day(s)];;;;
Franklin Metcalfe Carpenter, M.P.;1843-01-31;Saltfleet Township, Canada West;1907-09-25;farmer;3409 days [9 year(s), 4 month(s)];(1887-02-22 - 1896-06-22);3409 days [9 year(s), 4 month(s)];;;;
Gary Carr, M.P.;1955-08-14;Toronto, Ontario, Canada;;sales manager, professional hockey player, marketing manager;574 days [1 year(s), 6 month(s), 26 day(s)];(2004-06-28 - 2006-01-22);574 days [1 year(s), 6 month(s), 26 day(s)];;;;
The Hon. James (Jim) Gordon Carr, P.C., M.P.;1951-10-11;Winnipeg, Manitoba, Canada;2022-12-12 (Died in Office);musician, columnist, reporter, executive, administrator, teacher;2611 days [7 year(s), 1 month(s), 24 day(s)];(2015-10-19 - 2022-12-11);2611 days [7 year(s), 1 month(s), 24 day(s)];;;;
