Name;Date of Birth (yyyy-mm-dd);Place of Birth;Profession | Occupation;Years of Service;Senator;Service in Senate;MP;Service in House of Commons;Date of Death (yyyy-mm-dd);Language Preference;Notes
The Hon. Marie-P. Charette-Poulin, Senator, O.St.J.;1945-06-21;Sudbury, Ontario, Canada;lecturer, broadcasting executive, public servant, researcher, executive;7149 days [19 year(s), 6 month(s), 26 day(s)];(1995-09-21 - 2015-04-17);7149 days [19 year(s), 6 month(s), 26 day(s)];;;;;
Chris Charlton, M.P.;1963-07-04;Dortmund, Germany;public affairs consultant, teaching assistant, director, political adviser;3556 days [9 year(s), 8 month(s), 26 day(s)];;;(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;
John Charlton, M.P.;1829-02-03;Garbuttsville, New York, United States;lumber merchant, farmer, businessman;11709 days [32 year(s), 21 day(s)];;;(1872-10-12 - 1904-11-02);11709 days [32 year(s), 21 day(s)];1910-02-11;;
John Alpheus Charlton, M.P.;1907-07-05;Brantford, Ontario, Canada;farmer, veterinarian;6216 days [17 year(s), 7 day(s)];;;(1945-06-11 - 1949-06-26)|(1949-06-27 - 1953-08-09)|(1953-08-10 - 1962-06-17);6216 days [17 year(s), 7 day(s)];1977-01-28;;
The Hon. William Andrew Charlton, P.C., M.P.;1841-05-09;Cattaraugus County, New York, United States;lumber merchant, businessman;3729 days [10 year(s), 2 month(s), 16 day(s)];;;(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];1930-11-09;;
Samuel Charters, M.P.;1863-05-18;Chinguacousy Township, Canada West;newspaper owner, newspaper editor, publisher;6510 days [17 year(s), 9 month(s), 27 day(s)];;;(1917-12-17 - 1935-10-13);6510 days [17 year(s), 9 month(s), 27 day(s)];1943-04-21;;
Gilbert Chartrand, M.P.;1954-11-03;Verdun, Quebec, Canada;trader, businessman;3338 days [9 year(s), 1 month(s), 21 day(s)];;;(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;
David Cameron Chatters, M.P.;1946-04-15;Westlock, Alberta, Canada;farmer, rancher;4473 days [12 year(s), 2 month(s), 29 day(s)];;;(1993-10-25 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2005-02-23)|(2005-02-24 - 2006-01-22);4473 days [12 year(s), 2 month(s), 29 day(s)];2016-01-25;;
George Louis Chatterton, M.P.;1916-01-16;South Africa;agrologist;2584 days [7 year(s), 27 day(s)];;;(1961-05-29 - 1968-06-24);2584 days [7 year(s), 27 day(s)];1983-09-07;;
Andrew Chatwood, M.P.;1932-07-03;St John's, Newfoundland;administrative supervisor, sales manager;645 days [1 year(s), 9 month(s), 6 day(s)];;;(1966-09-19 - 1968-06-24);645 days [1 year(s), 9 month(s), 6 day(s)];2014-08-03;;
The Hon. Pierre-Joseph-Olivier Chauveau, Q.C., M.P., Senator;1820-05-30;Québec, Lower Canada;professor, author, lawyer, dean;2303 days [6 year(s), 3 month(s), 21 day(s)];(1873-02-20 - 1874-01-08);323 days [, 10 month(s), 19 day(s)];(1867-09-20 - 1873-02-19);1980 days [5 year(s), 5 month(s), 2 day(s)];1890-04-04;;
Léon Adolphe Chauvin, M.P.;1861-07-20;Terrebonne, Canada East;lawyer;1597 days [4 year(s), 4 month(s), 14 day(s)];;;(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];1904-06-08;;
Shaun Chen, M.P.;1980-09-18;Toronto, Ontario, Canada;executive;3844 days [10 year(s), 6 month(s), 9 day(s)];;;(2015-10-19 - );3844 days [10 year(s), 6 month(s), 9 day(s)];;English, French, Hakka;
Jacques Raymond (Ray) Chénier, M.P.;1935-08-07;Hanmer, Ontario, Canada;superintendent of education;1932 days [5 year(s), 3 month(s), 15 day(s)];;;(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;
John  Alexander Chesley, M.P.;1839-05-10;Portland, New Brunswick, Canada;foundryman;1309 days [3 year(s), 7 month(s), 30 day(s)];;;(1892-11-22 - 1896-06-22);1309 days [3 year(s), 7 month(s), 30 day(s)];1922-12-28;;
Guillaume Cheval dit St-Jacques, M.P.;1829-04-29;Beloeil, Lower Canada;merchant;3548 days [9 year(s), 8 month(s), 18 day(s)];;;(1867-09-20 - 1872-10-11)|(1874-01-22 - 1878-09-16);3548 days [9 year(s), 8 month(s), 18 day(s)];1880-04-20;;
Edgar-Rodolphe-Eugène Chevrier, Q.C., M.P.;1887-10-05;Ottawa, Ontario, Canada;judge, barrister, lawyer;5085 days [13 year(s), 11 month(s), 2 day(s)];;;(1921-12-06 - 1925-10-28)|(1926-09-14 - 1935-10-13)|(1935-10-14 - 1936-09-22);5085 days [13 year(s), 11 month(s), 2 day(s)];1956-08-26;;
The Hon. Lionel Chevrier, P.C., Q.C., M.P.;1903-04-02;Cornwall, Ontario, Canada;diplomat, barrister and solicitor, lawyer, counsel, high commissioner, ambassador;9227 days [25 year(s), 3 month(s), 5 day(s)];;;(1935-10-14 - 1954-06-30)|(1957-06-10 - 1963-12-27);9227 days [25 year(s), 3 month(s), 5 day(s)];1987-07-08;;
The Hon. Noé E. Chevrier;1846-04-27;Rigaud, Canada East;fur trader, clothier;995 days [2 year(s), 8 month(s), 22 day(s)];(1909-01-18 - 1911-10-09);995 days [2 year(s), 8 month(s), 22 day(s)];;;1911-10-09 (Died in Office);;
Thomas Edward Manley Chew, M.P.;1874-08-11;Rugby, Ontario, Canada;lumber merchant;2483 days [6 year(s), 9 month(s), 18 day(s)];;;(1908-10-26 - 1911-09-20)|(1921-12-06 - 1925-10-28);2483 days [6 year(s), 9 month(s), 18 day(s)];1928-12-17;;
Sylvain Chicoine, M.P.;1970-07-19;Ville-Émard, Quebec, Canada;security officer, labour representative;1631 days [4 year(s), 5 month(s), 18 day(s)];;;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;
The Hon. Eugène Chinic;1818-10-26;Québec, Lower Canada;merchant;3495 days [9 year(s), 6 month(s), 25 day(s)];(1873-04-10 - 1882-11-03);3495 days [9 year(s), 6 month(s), 25 day(s)];;;1889-04-28;;
Leverett de Veber Chipman, M.P.;1831-10-20;Cornwallis, Nova Scotia, Canada;merchant;1309 days [3 year(s), 7 month(s), 30 day(s)];;;(1870-06-23 - 1874-01-21);1309 days [3 year(s), 7 month(s), 30 day(s)];1914-01-08;;
William Henry Chipman, M.P.;1807-11-03;Cornwallis, Nova Scotia, Canada;merchant;934 days [2 year(s), 6 month(s), 21 day(s)];;;(1867-09-20 - 1870-04-10);934 days [2 year(s), 6 month(s), 21 day(s)];1870-04-10 (Died in Office);;
Alexander William Chisholm, M.P.;1869-01-24;Margaree Forks, Nova Scotia, Canada;physician;6212 days [17 year(s), 3 day(s)];;;(1908-10-26 - 1925-10-28);6212 days [17 year(s), 3 day(s)];1939-05-04;;
Daniel Black Chisholm, M.P.;1832-11-02;East Flamboro Township, Canada West;farmer, lawyer;788 days [2 year(s), 1 month(s), 28 day(s)];;;(1872-10-12 - 1874-01-21)|(1874-01-22 - 1874-12-08);788 days [2 year(s), 1 month(s), 28 day(s)];1899;;
Donald Chisholm, M.P.;1822;Antigonish, Nova Scotia, Canada;teacher;1139 days [3 year(s), 1 month(s), 13 day(s)];;;(1887-02-22 - 1890-04-05);1139 days [3 year(s), 1 month(s), 13 day(s)];1890-04-05 (Died in Office);;
Robert Chisholm, M.P.;1957-08-31;Kentville, Nova Scotia, Canada;union officer, consultant;1631 days [4 year(s), 5 month(s), 18 day(s)];;;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;
Thomas Chisholm, M.P.;1842-04-12;Glen Williams, Canada West;lecturer, physician, author, teacher;2513 days [6 year(s), 10 month(s), 18 day(s)];;;(1904-11-03 - 1911-09-20);2513 days [6 year(s), 10 month(s), 18 day(s)];1931-10-01;;
William Chisholm, K.C., M.P.;1870-12-08;Heatherton, Nova Scotia, Canada;lawyer, teacher;3843 days [10 year(s), 6 month(s), 8 day(s)];;;(1905-11-22 - 1916-05-30);3843 days [10 year(s), 6 month(s), 8 day(s)];1936-04-28;;
Corneliu Chisu, M.P.;1949-02-13;Satu Mare, Romania;project manager, professional engineer;1631 days [4 year(s), 5 month(s), 18 day(s)];;;(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;
Kenny Chiu, M.P.;;;software developer;700 days [1 year(s), 10 month(s)];;;(2019-10-21 - 2021-09-19);700 days [1 year(s), 10 month(s)];;;
The Hon. Michael D. Chong, P.C., M.P.;1971-11-22;Windsor, Ontario, Canada;information technology executive;7974 days [21 year(s), 9 month(s), 30 day(s)];;;(2004-06-28 - );7974 days [21 year(s), 9 month(s), 30 day(s)];;English, French;
Auguste Choquette, M.P.;1932-08-29;;lawyer;1905 days [5 year(s), 2 month(s), 18 day(s)];;;(1963-04-08 - 1968-06-24);1905 days [5 year(s), 2 month(s), 18 day(s)];2018-12-21;;"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Son of Fernand Choquette, member of the Quebec Legislative Assembly (1939-1948).Great-nephew of Ernest Choquette, member of the Quebec Legislative Council (1910-1941)."
François Choquette, M.P.;1974-01-03;Granby, Quebec, Canada;teacher;3094 days [8 year(s), 5 month(s), 20 day(s)];;;(2011-05-02 - 2019-10-20);3094 days [8 year(s), 5 month(s), 20 day(s)];;;
Joseph Armand Choquette, M.P.;1905-07-24;Katevale, Quebec, Canada;farmer;672 days [1 year(s), 10 month(s), 3 day(s)];;;(1943-08-09 - 1945-06-10);672 days [1 year(s), 10 month(s), 3 day(s)];1999-04-06;;
The Hon. Lionel Henri Choquette, Q.C., Senator;1906-03-06;Ottawa, Ontario, Canada;barrister;8436 days [23 year(s), 1 month(s), 5 day(s)];(1958-01-31 - 1981-03-06);8436 days [23 year(s), 1 month(s), 5 day(s)];;;1983-09-27;;
The Hon. Philippe Auguste Choquette, M.P., Senator;1854-01-06;Beloeil, Canada East;judge, lawyer;9722 days [26 year(s), 7 month(s), 13 day(s)];(1904-09-30 - 1919-12-29);5569 days [15 year(s), 2 month(s), 29 day(s)];(1887-02-22 - 1898-07-06);4153 days [11 year(s), 4 month(s), 13 day(s)];1948-12-20;;"For family relationships in the Parliament of Canada see ""Family Ties"" below.  Father of Fernand Choquette, member of the Quebec Legislative Assembly (1939-1948).Brother of Ernest Choquette, member of the Quebec Legislative Council (1910-1941)."
Honoré Julien Jean-Baptiste Chouinard, M.P.;1850-06-18;Québec, Quebec, Canada;railway company vice-president;1153 days [3 year(s), 1 month(s), 27 day(s)];;;(1888-01-07 - 1891-03-04);1153 days [3 year(s), 1 month(s), 27 day(s)];1928-11-27;;
Olivia Chow, M.P.;1957-03-24;Hong Kong, China;municipal councillor, teacher, mayor;2972 days [8 year(s), 1 month(s), 20 day(s)];;;(2006-01-23 - 2014-03-13);2972 days [8 year(s), 1 month(s), 20 day(s)];;;
Gordon Campbell Chown, M.P.;1922-08-15;Winnipeg, Manitoba, Canada;barrister, lawyer;2128 days [5 year(s), 9 month(s), 28 day(s)];;;(1957-06-10 - 1963-04-07);2128 days [5 year(s), 9 month(s), 28 day(s)];2002-07-31;;
Jean-Guy Chrétien, M.P.;1946-01-23;Coleraine, Quebec, Canada;professor, farmer;2590 days [7 year(s), 1 month(s), 3 day(s)];;;(1993-10-25 - 1997-06-01)|(1997-06-02 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;
The Right Hon. Joseph Jacques Jean Chrétien, P.C., K.C., M.P.;1934-01-11;Shawinigan, Quebec, Canada;lawyer;13113 days [35 year(s), 10 month(s), 25 day(s)];;;(1963-04-08 - 1968-06-24)|(1968-06-25 - 1986-02-27)|(1990-12-10 - 1993-10-24)|(1993-10-25 - 2003-12-12);13113 days [35 year(s), 10 month(s), 25 day(s)];;;
The Hon. Ione Jean Christensen, Senator;1933-10-10;Dawson Creek, British Columbia, Canada;judge, public servant;2678 days [7 year(s), 3 month(s), 30 day(s)];(1999-09-02 - 2006-12-31);2678 days [7 year(s), 3 month(s), 30 day(s)];;;2025-09-15;;First woman to be appointed as Commissioner of Yukon in 1979.
Frank Claus Christian, M.P.;1911-04-28;Vancouver, British Columbia, Canada;lawyer;294 days [, 9 month(s), 20 day(s)];;;(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];1988-07-26;;
The Hon. David Christie, P.C., Senator;1818-10;Edinburgh, Scotland;farmer;4803 days [13 year(s), 1 month(s), 25 day(s)];(1867-10-23 - 1880-12-15);4803 days [13 year(s), 1 month(s), 25 day(s)];;;1880-12-14 (Died in Office);;
Peter Christie, M.P.;1846-10-30;Reach Township, Canada West;farmer;1453 days [3 year(s), 11 month(s), 22 day(s)];;;(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];1933-12-13;;
Thomas Christie, M.P.;1855;Lachute, Quebec, Canada;pharmacist;701 days [1 year(s), 11 month(s), 1 day(s)];;;(1902-12-03 - 1904-11-02);701 days [1 year(s), 11 month(s), 1 day(s)];1934-03-02;;
Thomas Christie, M.P.;1824-03-08;Glasgow, Scotland;professor, physician;5642 days [15 year(s), 5 month(s), 11 day(s)];;;(1875-12-31 - 1880-01-09)|(1891-03-05 - 1902-08-05);5642 days [15 year(s), 5 month(s), 11 day(s)];1902-08-05 (Died in Office);;
